"team","teamCode","conference","win","lose","win2","sd","probChamp"
"Atlanta Hawks","ATL","E",17.394,64.606,314.42,3.44510725522444,0
"Boston Celtics","BOS","E",51.107,30.893,2626.441,3.80992795207468,0
"Brooklyn Nets","BRK","E",30.844,51.156,966.454,3.88608594861204,0
"Charlotte Hornets","CHO","E",39.578,42.422,1583.41,4.12212518004972,0
"Chicago Bulls","CHI","E",31.982,50.018,1039.06,4.02637256100327,0
"Cleveland Cavaliers","CLE","E",52.72,29.28,2793.614,3.77035807318085,0
"Dallas Mavericks","DAL","W",42.601,39.399,1831.145,4.03730095484596,0
"Denver Nuggets","DEN","W",52.158,29.842,2734.992,3.81248422947561,0
"Detroit Pistons","DET","E",37.888,44.112,1451.83,4.04097216026047,0
"Golden State Warriors","GSW","W",59.876,22.124,3597.924,3.5761185662671,0
"Houston Rockets","HOU","W",45.554,36.446,2090.998,3.97882947611479,0
"Indiana Pacers","IND","E",43.223,38.777,1884.507,4.03475786138401,0
"Los Angeles Clippers","LAC","W",44.244,37.756,1973.11,3.94695629567898,0
"Los Angeles Lakers","LAL","W",32.565,49.435,1076.099,3.95218610391769,0
"Memphis Grizzlies","MEM","W",46.087,35.913,2140.619,4.07522158906726,0
"Miami Heat","MIA","E",40.521,41.479,1657.513,3.94481419080795,0
"Milwaukee Bucks","MIL","E",42.504,39.496,1821.588,3.87272307298109,0
"Minnesota Timberwolves","MIN","W",36.561,45.439,1352.701,3.9992848110631,0
"New Orleans Pelicans","NOP","W",45.429,36.571,2079.113,3.91394417435912,0
"New York Knicks","NYK","E",38.489,43.511,1496.891,3.93546426740229,0
"Oklahoma City Thunder","OKC","W",37.254,44.746,1403.588,3.96578920266827,0
"Orlando Magic","ORL","E",30.543,51.457,948.079,3.89925005610053,0
"Philadelphia 76ers","PHI","E",20.209,61.791,420.031,3.40988548194804,0
"Phoenix Suns","PHO","W",20.39,61.61,428.122,3.51708686273171,0
"Portland Trail Blazers","POR","W",37.622,44.378,1431.154,3.96725547450627,0
"Sacramento Kings","SAC","W",41.635,40.365,1749.779,4.03804098542849,0
"San Antonio Spurs","SAS","W",55.362,26.638,3078.716,3.71011536208775,0
"Toronto Raptors","TOR","E",54.609,27.391,2996.485,3.78709902167872,0
"Utah Jazz","UTA","W",53.362,28.638,2860.764,3.64155955601444,0
"Washington Wizards","WAS","E",47.689,34.311,2289.777,3.94160868174403,0
