"team","teamCode","conference","win","lose","win2","sd","probChamp"
"Atlanta Hawks","ATL","E",17.121,64.879,304.195,3.32661374373401,0
"Boston Celtics","BOS","E",56.299,25.701,3183.907,3.78544568049789,0
"Brooklyn Nets","BRK","E",29.902,52.098,908.488,3.78924741868355,0
"Charlotte Hornets","CHO","E",38.685,43.315,1511.559,3.87682537651617,0
"Chicago Bulls","CHI","E",31.227,50.773,989.199,3.75146251480672,0
"Cleveland Cavaliers","CLE","E",65.482,16.518,4298.59,3.27073019370303,0
"Dallas Mavericks","DAL","W",42.2,39.8,1796.13,3.91024295920343,0
"Denver Nuggets","DEN","W",51.657,30.343,2682.813,3.7904288675558,0
"Detroit Pistons","DET","E",37.414,44.586,1414.806,3.87280311918898,0
"Golden State Warriors","GSW","W",59.45,22.55,3547.28,3.602429735609,0
"Houston Rockets","HOU","W",44.673,37.327,2011.605,3.99099874718094,0
"Indiana Pacers","IND","E",42.233,39.767,1798.973,3.91748784299328,0
"Los Angeles Clippers","LAC","W",43.689,38.311,1923.815,3.88410594603187,0
"Los Angeles Lakers","LAL","W",32.335,49.665,1060.469,3.86222410017854,0
"Memphis Grizzlies","MEM","W",45.552,36.448,2089.784,3.84698531320307,0
"Miami Heat","MIA","E",39.733,42.267,1593.091,3.79205893941537,0
"Milwaukee Bucks","MIL","E",41.436,40.564,1732.956,4.00173762258346,0
"Minnesota Timberwolves","MIN","W",36.158,45.842,1324.95,4.18915695576089,0
"New Orleans Pelicans","NOP","W",44.843,37.157,2026.453,3.9444075600779,0
"New York Knicks","NYK","E",37.549,44.451,1426.703,4.09580260754837,0
"Oklahoma City Thunder","OKC","W",36.974,45.026,1382.352,3.90836589894043,0
"Orlando Magic","ORL","E",29.711,52.289,898.981,4.02957553595911,0
"Philadelphia 76ers","PHI","E",19.883,62.117,408.139,3.57845092183755,0
"Phoenix Suns","PHO","W",19.945,62.055,409.547,3.42694835093849,0
"Portland Trail Blazers","POR","W",36.924,45.076,1380.604,4.14996674685474,0
"Sacramento Kings","SAC","W",41.074,40.926,1703.23,4.01951788153756,0
"San Antonio Spurs","SAS","W",54.657,27.343,3002.147,3.84179007755501,0
"Toronto Raptors","TOR","E",53.553,28.447,2881.997,3.75142519584224,0
"Utah Jazz","UTA","W",52.841,29.159,2806.721,3.81440939071832,0
"Washington Wizards","WAS","E",46.8,35.2,2206.134,3.98672798169128,0
