"team","teamCode","conference","win","lose","win2","sd","probChamp"
"Atlanta Hawks","ATL","E",17.246,64.754,308.878,3.3842996321248,0
"Boston Celtics","BOS","E",56.435,25.565,3197.447,3.54087206772566,0
"Brooklyn Nets","BRK","E",30.35,51.65,935.466,3.78728134682386,0
"Charlotte Hornets","CHO","E",38.629,43.371,1507.535,3.91603868724508,0
"Chicago Bulls","CHI","E",31.127,50.873,984.825,3.99185057335569,0
"Cleveland Cavaliers","CLE","E",62.955,19.045,3974.649,3.36407119425261,0
"Dallas Mavericks","DAL","W",42.013,39.987,1781.085,3.99910377459753,0
"Denver Nuggets","DEN","W",51.641,30.359,2681.783,3.87170750444814,0
"Detroit Pistons","DET","E",37.339,44.661,1410.205,4.00050984250758,0
"Golden State Warriors","GSW","W",59.517,22.483,3554.983,3.56506816204122,0
"Houston Rockets","HOU","W",45.214,36.786,2059.94,3.95401112795604,0
"Indiana Pacers","IND","E",42.41,39.59,1814.192,3.94764486751282,0
"Los Angeles Clippers","LAC","W",43.975,38.025,1948.425,3.82418291926522,0
"Los Angeles Lakers","LAL","W",32.074,49.926,1043.716,3.86969301107982,0
"Memphis Grizzlies","MEM","W",45.713,36.287,2105.069,3.92308947132228,0
"Miami Heat","MIA","E",39.64,42.36,1586.926,3.94922777261579,0
"Milwaukee Bucks","MIL","E",41.532,40.468,1740.048,3.89114070678514,0
"Minnesota Timberwolves","MIN","W",36.168,45.832,1324.398,4.03407684607024,0
"New Orleans Pelicans","NOP","W",44.627,37.373,2007.663,4.01171671482419,0
"New York Knicks","NYK","E",37.662,44.338,1432.462,3.74643243633193,0
"Oklahoma City Thunder","OKC","W",36.965,45.035,1381.137,3.83741775156154,0
"Orlando Magic","ORL","E",29.898,52.102,907.592,3.70156669533321,0
"Philadelphia 76ers","PHI","E",19.931,62.069,409.897,3.55699859432077,0
"Phoenix Suns","PHO","W",19.99,62.01,411.882,3.50455417992076,0
"Portland Trail Blazers","POR","W",37.078,44.922,1390.754,3.99698836625773,0
"Sacramento Kings","SAC","W",41.156,40.844,1710.7,4.10897359446373,0
"San Antonio Spurs","SAS","W",54.789,27.211,3016.429,3.82027211072718,0
"Toronto Raptors","TOR","E",53.85,28.15,2913.582,3.70938000210273,0
"Utah Jazz","UTA","W",52.955,29.045,2819.007,3.84382296678714,0
"Washington Wizards","WAS","E",47.121,34.879,2236.183,3.97421174574279,0
