"team","teamCode","conference","win","lose","win2","sd","probChamp"
"Atlanta Hawks","ATL","E",20.358,61.642,426.968,3.53833802794476,0
"Boston Celtics","BOS","E",54.823,27.177,3019.835,3.77805121722826,0
"Brooklyn Nets","BRK","E",32.694,49.306,1084.428,3.94085828215123,0
"Charlotte Hornets","CHO","E",38.046,43.954,1463.028,3.94079738124152,0
"Chicago Bulls","CHI","E",29.838,52.162,905.54,3.90304445273172,0
"Cleveland Cavaliers","CLE","E",62.316,19.684,3895.144,3.4438559784055,0
"Dallas Mavericks","DAL","W",42.287,39.713,1803.801,3.95102910644809,0
"Denver Nuggets","DEN","W",49.685,32.315,2483.495,3.85950450187579,0
"Detroit Pistons","DET","E",37.887,44.113,1451.801,4.04675561406912,0
"Golden State Warriors","GSW","W",59.541,22.459,3558.871,3.70679362792164,0
"Houston Rockets","HOU","W",46.957,35.043,2221.907,4.11669175430956,0
"Indiana Pacers","IND","E",42.61,39.39,1831.86,4.03086839279079,0
"Los Angeles Clippers","LAC","W",44.097,37.903,1960.297,3.9688274086939,0
"Los Angeles Lakers","LAL","W",32.073,49.927,1044.707,4.00370715712326,0
"Memphis Grizzlies","MEM","W",44.476,37.524,1994.246,4.01639440294403,0
"Miami Heat","MIA","E",40.085,41.915,1623.515,4.08751452596808,0
"Milwaukee Bucks","MIL","E",44.246,37.754,1973.26,3.94353699107791,0
"Minnesota Timberwolves","MIN","W",41.221,40.779,1715.983,4.10026328422948,0
"New Orleans Pelicans","NOP","W",43.715,38.285,1928.149,4.14098720113932,0
"New York Knicks","NYK","E",38.845,43.155,1525.867,4.11496962321716,0
"Oklahoma City Thunder","OKC","W",34.936,47.064,1236.828,4.03780930703765,0
"Orlando Magic","ORL","E",27.241,54.759,756.621,3.81430452376314,0
"Philadelphia 76ers","PHI","E",20.065,61.935,414.941,3.51237455291999,0
"Phoenix Suns","PHO","W",18.961,63.039,371.773,3.50049696471802,0
"Portland Trail Blazers","POR","W",36.438,45.562,1343.912,4.02295364129389,0
"Sacramento Kings","SAC","W",42.979,39.021,1863.487,4.0364042166265,0
"San Antonio Spurs","SAS","W",53.929,28.071,2924.463,4.01571400874116,0
"Toronto Raptors","TOR","E",52.053,29.947,2724.735,3.90130631968323,0
"Utah Jazz","UTA","W",52.507,29.493,2772.057,3.88226106798601,0
"Washington Wizards","WAS","E",45.091,36.909,2047.933,3.83858294165957,0
