"teamCode","team","win","TEAM_PTS","TEAM_PTSAG","scenario"
"BOS","Boston Celtics",51.107,114.141747525547,109.273799294067,"Pre-Trades"
"CLE","Cleveland Cavaliers",52.72,105.979540003419,100.51715770198,"Pre-Trades"
"BOS","Boston Celtics",52.051,113.832256205479,108.46383824131,"Kyrie - Isaiah trade"
"CLE","Cleveland Cavaliers",58.499,106.219012490356,97.9782130882389,"Kyrie - Isaiah trade"
"BOS","Boston Celtics",56.299,115.69703086121,108.147480165289,"Kyrie - Isaiah, Jae Crowder trade"
"CLE","Cleveland Cavaliers",65.482,106.174662969049,94.2724500482398,"Kyrie - Isaiah, Jae Crowder trade"
"BOS","Boston Celtics",56.435,115.69703086121,108.147480165289,"Kyrie - Jae Crowder. 7 top play 70%"
"CLE","Cleveland Cavaliers",62.955,102.200606041311,91.5930739617706,"Kyrie - Jae Crowder. 7 top play 70%"
"BOS","Boston Celtics",54.823,113.62974464535,106.889695553402,"Kyrie - Jae Crowder. 7 top play 60%"
"CLE","Cleveland Cavaliers",62.316,101.793246974262,91.5024456446599,"Kyrie - Jae Crowder. 7 top play 60%"
