"Rk","Player","Class","Season","Pos","School","Conf","G","MP","FG","FGA","2P","2PA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","PProd","ORtg","DRtg","OWS","DWS","WS","OBPM","DBPM","BPM"
"1","John Brown","SR","2015-16","F","High Point","Big South","28","29.6","7.6","12.6","7.5","12.5","0.0","0.0","4.4","6.3","3.3","3.9","7.1","2.2","1.7","1.8","1.7","2.1","19.6","36.9",".629",".604","13.3","15.6","14.5","17.4","3.4","6.9","9.9","29.9","521","128.7","98.9","4.3","1.5","5.7","7.5","3.3","10.9"
"2","Jameel Warney","SR","2015-16","F","Stony Brook","AEC","33","32.9","8.2","13.1","8.2","13.1","0.0","0.0","3.4","5.4","4.5","6.3","10.8","1.6","0.9","3.0","1.3","2.2","19.8","36.4",".633",".628","15.3","21.4","18.4","10.6","1.7","9.7","7.8","25.6","606","132.7","88.6","5.3","2.9","8.3","5.7","5.7","11.4"
"3","Thomas Walkup","SR","2015-16","F","Stephen F. Austin","Southland","34","29.5","6.4","10.9","6.1","9.7","0.3","1.1","5.0","6.1","2.3","4.5","6.9","4.5","2.1","0.5","1.7","2.7","18.1","34.8",".656",".602","9.2","18.6","13.8","30.7","4.1","1.8","11.0","25.7","623","137.9","86.8","5.8","2.9","8.7","9.3","4.7","14.1"
"4","Mike Daum","FR","2015-16","F","South Dakota State","Summit","34","20.8","5.1","9.1","4.2","7.2","0.9","1.9","4.3","5.2","2.1","4.0","6.1","0.8","0.5","0.3","1.6","2.1","15.2","34.5",".656",".600","11.7","21.6","16.7","9.5","1.4","1.7","12.4","31.9","476","129.0","97.8","3.9","1.3","5.2","7.0","-0.8","6.2"
"5","Brice Johnson","SR","2015-16","F","North Carolina","ACC","40","28.0","6.7","10.9","6.7","10.9","0.0","0.0","3.6","4.6","2.9","7.5","10.4","1.5","1.1","1.5","1.8","2.7","17.0","33.0",".649",".614","11.7","28.5","20.4","9.7","2.2","5.5","11.8","25.0","613","130.2","92.3","5.0","2.6","7.6","7.3","6.2","13.4"
"6","Pascal Siakam","SO","2015-16","F","New Mexico State","WAC","34","34.6","8.1","15.0","8.0","14.5","0.1","0.4","4.0","5.9","3.9","7.7","11.6","1.7","1.0","2.2","2.0","2.7","20.2","31.5",".569",".541","13.4","23.6","18.8","12.0","1.7","6.5","10.0","29.1","649","119.6","86.7","4.4","3.4","7.8","3.4","4.6","8.0"
"7","Martin Breunig","SR","2015-16","F","Montana","Big Sky","33","30.5","6.9","11.1","6.8","10.8","0.1","0.3","5.0","7.1","2.9","6.1","9.0","1.5","0.7","1.1","2.2","3.3","18.9","31.4",".653",".625","11.9","24.1","18.1","11.8","1.3","4.5","13.3","28.8","585","125.3","96.8","4.5","2.0","6.5","4.5","1.7","6.2"
"8","DeSean Murray","SO","2015-16","F","Presbyterian","Big South","31","29.1","7.5","13.8","7.5","13.5","0.0","0.2","5.3","6.8","2.4","5.0","7.4","1.7","2.0","0.5","3.1","3.0","20.2","31.2",".595",".543","9.4","19.8","14.5","16.9","4.0","2.3","15.3","34.8","586","111.4","98.1","2.9","1.6","4.5","3.5","1.7","5.2"
"9","Jakob Poeltl","SO","2015-16","F","Utah","Pac-12","36","30.4","6.3","9.8","6.3","9.8","0.0","0.0","4.6","6.6","2.8","6.3","9.1","1.9","0.6","1.6","2.1","2.3","17.2","31.1",".666",".646","11.9","22.1","17.4","13.9","1.1","5.0","13.7","25.7","597","128.8","98.5","4.9","1.9","6.8","6.8","4.4","11.2"
"10","A.J. Hammons","SR","2015-16","C","Purdue","Big Ten","33","24.6","6.0","10.2","5.8","9.8","0.2","0.3","2.7","3.8","2.3","5.8","8.2","1.1","0.3","2.5","2.0","2.4","15.0","31.0",".623",".601","11.5","24.9","18.7","10.5","0.7","10.4","14.1","28.6","431","117.7","88.7","2.7","2.2","4.9","3.9","8.0","11.9"
"11","Chris Horton","SR","2015-16","C","Austin Peay","OVC","36","33.7","6.9","11.5","6.9","11.5","0.0","0.0","5.0","8.1","4.9","7.1","12.0","1.5","1.4","1.8","2.7","2.1","18.8","30.7",".613",".599","16.7","23.8","20.2","10.1","2.3","5.7","15.1","26.1","674","119.8","101.8","4.3","1.8","6.1","3.2","2.2","5.4"
"12","Shawn Long","SR","2015-16","F","Louisiana-Lafayette","Sun Belt","34","30.6","6.8","13.0","6.3","11.1","0.5","2.0","4.7","6.9","4.0","8.1","12.1","1.4","0.7","1.8","2.7","2.8","18.9","30.0",".579",".544","14.0","28.7","21.2","9.9","1.3","5.7","14.1","28.8","618","116.8","96.0","3.6","2.1","5.7","3.4","2.1","5.5"
"13","Antonio Campbell","JR","2015-16","F","Ohio","MAC","35","28.9","6.8","12.1","5.5","8.7","1.2","3.3","2.3","3.2","2.1","8.1","10.2","0.7","0.7","1.8","1.3","3.2","17.1","29.8",".629",".611","8.9","30.6","20.3","5.3","1.3","6.3","8.5","26.1","529","123.4","98.6","3.7","1.8","5.5","3.4","1.4","4.8"
"14","Denzel Valentine","SR","2015-16","G","Michigan State","Big Ten","31","33.0","6.6","14.3","3.3","6.8","3.4","7.5","2.6","3.1","0.8","6.7","7.5","7.8","1.0","0.2","2.7","1.7","19.2","29.7",".608",".579","3.0","21.2","12.8","45.8","1.9","0.7","14.8","28.4","622","127.2","94.0","5.0","2.2","7.3","12.2","4.4","16.5"
"15","Chris Cokley","SO","2015-16","F","Alabama-Birmingham","CUSA","33","22.1","5.3","9.3","5.3","9.3","0.0","0.0","2.5","3.4","2.3","4.2","6.5","1.4","0.9","0.7","1.0","2.8","13.1","29.6",".601",".573","12.5","19.7","16.3","14.0","2.3","3.2","8.6","26.9","400","125.2","96.9","3.0","1.4","4.4","4.0","1.1","5.2"
"16","Tyler Flack","JR","2015-16","F","South Dakota","Summit","17","17.3","3.7","6.4","3.6","5.9","0.1","0.5","2.4","2.8","2.1","3.4","5.5","0.5","0.6","1.1","1.3","2.4","9.9","29.4",".646",".593","14.1","22.9","18.5","6.3","2.1","7.3","14.4","25.9","160","121.6","103.1","1.1","0.4","1.5","2.6","0.8","3.4"
"17","Isaac Haas","SO","2015-16","C","Purdue","Big Ten","35","14.3","3.6","6.1","3.6","6.1","0.0","0.0","2.6","3.6","1.2","2.5","3.7","0.5","0.1","0.8","1.1","1.7","9.8","29.4",".629",".594","10.0","18.4","14.5","7.5","0.5","5.4","12.5","31.4","286","119.5","95.0","1.9","1.1","3.0","3.3","2.8","6.1"
"18","Adrian Diaz","SR","2015-16","C","Florida International","CUSA","32","29.8","5.6","8.7","5.6","8.7","0.0","0.0","4.0","6.4","3.2","4.7","7.8","0.9","0.6","2.9","2.1","3.5","15.3","29.3",".651",".650","13.0","16.5","14.8","6.5","1.3","10.8","15.4","24.2","465","122.1","99.2","3.4","1.6","5.0","2.9","3.5","6.4"
"19","Domantas Sabonis","SO","2015-16","F","Gonzaga","WCC","36","31.9","6.6","10.9","6.5","10.5","0.1","0.4","4.2","5.4","3.1","8.8","11.8","1.8","0.6","0.9","2.6","3.2","17.6","29.3",".654",".618","11.7","28.2","20.7","11.3","1.1","2.7","16.0","25.6","617","124.6","91.2","4.6","2.8","7.5","5.0","4.0","9.0"
"20","Joel Bolomboy","SR","2015-16","F","Weber State","Big Sky","33","31.5","5.8","10.2","5.2","8.5","0.6","1.7","4.8","6.9","3.3","9.3","12.6","1.1","0.7","1.2","2.4","2.2","17.1","29.1",".634",".602","13.1","31.3","23.0","7.4","1.3","3.5","14.9","26.1","552","121.0","90.0","3.8","2.7","6.5","1.5","2.1","3.5"
