"No.","Player","Pos","Ht","Wt","Birth_Date","Nationality","Experience","College","Team","Age"
32,"Mike Scott","PF","6-8",237,"July 16, 1988","us","4","University of Virginia","ATL",29
17,"Dennis Schroder","PG","6-1",172,"September 15, 1993","de","3","","ATL",24
10,"Tim Hardaway","SG","6-6",205,"March 16, 1992","us","3","University of Michigan","ATL",25
25,"Thabo Sefolosha","SF","6-7",220,"May 2, 1984","ch","10","","ATL",33
26,"Kyle Korver","SG","6-7",212,"March 17, 1981","us","13","Creighton University","ATL",36
11,"Tiago Splitter","C","6-11",245,"January 1, 1985","br","6","","ATL",32
31,"Mike Muscala","C","6-11",240,"July 1, 1991","us","3","Bucknell University","ATL",26
4,"Paul Millsap","PF","6-8",246,"February 10, 1985","us","10","Louisiana Tech University","ATL",32
24,"Kent Bazemore","SF","6-5",201,"July 1, 1989","us","4","Old Dominion University","ATL",28
8,"Dwight Howard","C","6-11",265,"December 8, 1985","us","12","","ATL",32
5,"Malcolm Delaney","PG","6-3",190,"March 11, 1989","us","R","Virginia Polytechnic Institute and State University","ATL",28
12,"Taurean Prince","SF","6-8",220,"March 22, 1994","us","R","Baylor University","ATL",23
95,"DeAndre' Bembry","SF","6-6",210,"July 4, 1994","us","R","Saint Joseph's University","ATL",23
43,"Kris Humphries","PF","6-9",235,"February 6, 1985","us","12","University of Minnesota","ATL",32
30,"Ryan Kelly","PF","6-11",230,"April 9, 1991","us","3","Duke University","ATL",26
0,"Avery Bradley","SG","6-2",180,"November 26, 1990","us","6","University of Texas at Austin","BOS",27
41,"Kelly Olynyk","C","7-0",238,"April 19, 1991","ca","3","Gonzaga University","BOS",26
4,"Isaiah Thomas","PG","5-9",185,"February 7, 1989","us","5","University of Washington","BOS",28
36,"Marcus Smart","PG","6-4",220,"March 6, 1994","us","2","Oklahoma State University","BOS",23
13,"James Young","SG","6-6",215,"August 16, 1995","us","2","University of Kentucky","BOS",22
12,"Terry Rozier","PG","6-2",190,"March 17, 1994","us","1","University of Louisville","BOS",23
99,"Jae Crowder","SF","6-6",235,"July 6, 1990","us","4","Marquette University","BOS",27
8,"Jonas Jerebko","PF","6-10",231,"March 2, 1987","se","6","","BOS",30
90,"Amir Johnson","PF","6-9",240,"May 1, 1987","us","11","","BOS",30
55,"Jordan Mickey","PF","6-8",235,"July 9, 1994","us","1","Louisiana State University","BOS",23
42,"Al Horford","C","6-10",245,"June 3, 1986","do","9","University of Florida","BOS",31
