"Date","pts_away","pts_home"
"Tue, Oct 27, 2009","95","89"
"Tue, Oct 27, 2009","102","91"
"Tue, Oct 27, 2009","92","99"
"Tue, Oct 27, 2009","87","96"
"Wed, Oct 28, 2009","109","120"
"Wed, Oct 28, 2009","59","92"
"Wed, Oct 28, 2009","105","114"
"Wed, Oct 28, 2009","108","107"
"Wed, Oct 28, 2009","109","107"
"Wed, Oct 28, 2009","96","74"
"Wed, Oct 28, 2009","93","115"
"Wed, Oct 28, 2009","93","95"
"Wed, Oct 28, 2009","89","102"
"Wed, Oct 28, 2009","106","120"
"Wed, Oct 28, 2009","96","113"
"Wed, Oct 28, 2009","91","101"
"Thu, Oct 29, 2009","85","92"
"Thu, Oct 29, 2009","97","94"
"Fri, Oct 30, 2009","89","100"
"Fri, Oct 30, 2009","90","118"
"Fri, Oct 30, 2009","100","102"
"Fri, Oct 30, 2009","91","83"
"Fri, Oct 30, 2009","96","83"
"Fri, Oct 30, 2009","94","80"
"Fri, Oct 30, 2009","107","115"
"Fri, Oct 30, 2009","104","87"
"Fri, Oct 30, 2009","95","85"
"Fri, Oct 30, 2009","92","97"
"Fri, Oct 30, 2009","86","99"
"Fri, Oct 30, 2009","101","123"
"Fri, Oct 30, 2009","98","111"
"Sat, Oct 31, 2009","79","90"
"Sat, Oct 31, 2009","107","111"
"Sat, Oct 31, 2009","93","84"
"Sat, Oct 31, 2009","85","96"
"Sat, Oct 31, 2009","141","127"
"Sat, Oct 31, 2009","94","113"
"Sat, Oct 31, 2009","104","123"
"Sun, Nov 1, 2009","87","97"
"Sun, Nov 1, 2009","123","133"
"Sun, Nov 1, 2009","110","118"
"Sun, Nov 1, 2009","87","95"
"Sun, Nov 1, 2009","83","74"
"Sun, Nov 1, 2009","112","120"
"Sun, Nov 1, 2009","125","116"
"Mon, Nov 2, 2009","68","79"
"Mon, Nov 2, 2009","90","93"
"Mon, Nov 2, 2009","111","117"
"Mon, Nov 2, 2009","116","127"
"Mon, Nov 2, 2009","113","96"
"Tue, Nov 3, 2009","81","83"
"Tue, Nov 3, 2009","90","102"
"Tue, Nov 3, 2009","85","96"
"Tue, Nov 3, 2009","80","85"
"Tue, Nov 3, 2009","111","93"
"Tue, Nov 3, 2009","104","96"
"Tue, Nov 3, 2009","101","98"
"Tue, Nov 3, 2009","105","74"
"Tue, Nov 3, 2009","97","91"
"Wed, Nov 4, 2009","105","113"
"Wed, Nov 4, 2009","103","102"
"Wed, Nov 4, 2009","92","90"
"Wed, Nov 4, 2009","122","94"
"Wed, Nov 4, 2009","107","114"
"Wed, Nov 4, 2009","101","89"
"Wed, Nov 4, 2009","100","122"
"Wed, Nov 4, 2009","113","105"
"Wed, Nov 4, 2009","99","110"
"Wed, Nov 4, 2009","93","89"
"Thu, Nov 5, 2009","86","85"
"Thu, Nov 5, 2009","99","113"
"Fri, Nov 6, 2009","110","103"
"Fri, Nov 6, 2009","83","103"
"Fri, Nov 6, 2009","118","90"
"Fri, Nov 6, 2009","94","105"
"Fri, Nov 6, 2009","86","102"
"Fri, Nov 6, 2009","98","114"
"Fri, Nov 6, 2009","88","96"
"Fri, Nov 6, 2009","87","72"
"Fri, Nov 6, 2009","107","90"
"Fri, Nov 6, 2009","100","91"
"Fri, Nov 6, 2009","103","110"
"Fri, Nov 6, 2009","94","97"
"Fri, Nov 6, 2009","84","96"
"Sat, Nov 7, 2009","100","125"
"Sat, Nov 7, 2009","90","93"
"Sat, Nov 7, 2009","101","129"
