Team,TeamCode,Conference
Atlanta Hawks,ATL,E
Boston Celtics,BOS,E
Brooklyn Nets,BRK,E
Charlotte Hornets,CHO,E
Chicago Bulls,CHI,E
Cleveland Cavaliers,CLE,E
Dallas Mavericks,DAL,W
Denver Nuggets,DEN,W
Detroit Pistons,DET,E
Golden State Warriors,GSW,W
Houston Rockets,HOU,W
Indiana Pacers,IND,E
Los Angeles Clippers,LAC,W
Los Angeles Lakers,LAL,W
Memphis Grizzlies,MEM,W
Miami Heat,MIA,E
Milwaukee Bucks,MIL,E
Minnesota Timberwolves,MIN,W
New Orleans Pelicans,NOP,W
New York Knicks,NYK,E
Oklahoma City Thunder,OKC,W
Orlando Magic,ORL,E
Philadelphia 76ers,PHI,E
Phoenix Suns,PHO,W
Portland Trail Blazers,POR,W
Sacramento Kings,SAC,W
San Antonio Spurs,SAS,W
Toronto Raptors,TOR,E
Utah Jazz,UTA,W
Washington Wizards,WAS,E
