Team,TeamCode,GP,W,L,Wper,MIN,FGM,FGA,FGper,3PM,3PA,3Pperc,FTM,FTA,FTperc,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PTSAG,plus_minus
Atlanta Hawks,ATL,82,48,34,58.5,48.4,38.6,84.4,45.8,9.9,28.4,35,15.6,20,78.3,8.3,33.8,42.1,25.6,15,9.1,5.9,5,19.1,18.3,102.8,99.2,3.6
Boston Celtics,BKN,82,48,34,58.5,48.2,39.2,89.2,43.9,8.7,26.1,33.5,18.5,23.5,78.8,11.6,33.3,44.9,24.2,13.7,9.2,4.2,5.5,21.9,21,105.7,102.5,3.2
Brooklyn Nets,BOS,82,21,61,25.6,48.2,38.2,84.4,45.3,6.5,18.4,35.2,15.7,20.7,75.7,10.5,31.9,42.4,22.3,14.8,7.6,4,5.2,18,18.4,98.6,106,-7.4
Charlotte Hornets,CHA,82,48,34,58.5,48.4,37,84.4,43.9,10.6,29.4,36.2,18.7,23.7,79,9,35,43.9,21.7,12.5,7.3,5.3,5.5,18.1,20.4,103.4,100.7,2.7
Chicago Bulls,CHI,82,42,40,51.2,48.5,38.6,87.4,44.1,7.9,21.4,37.1,16.5,21,78.7,11.1,35.2,46.3,22.8,13.9,6,5.7,5.7,18.8,18.7,101.6,103.1,-1.5
Cleveland Cavaliers,CLE,82,57,25,69.5,48.4,38.7,84,46,10.7,29.6,36.2,16.3,21.7,74.8,10.6,33.9,44.5,22.7,13.6,6.7,3.9,4.4,20.3,20.6,104.3,98.3,6
Dallas Mavericks,DAL,82,42,40,51.2,48.8,37.4,84.1,44.4,9.8,28.6,34.4,17.7,22.3,79.4,9.2,33.9,43.1,22.1,12.8,6.8,3.7,4.4,19.5,21.4,102.3,102.6,-0.3
Denver Nuggets,DEN,82,33,49,40.2,48.4,37.7,85.4,44.2,8,23.7,33.8,18.5,24.1,76.6,11.5,33.1,44.6,22.7,14.7,7.4,4.8,6.3,21,20.9,101.9,105,-3.1
Detroit Pistons,DET,82,44,38,53.7,48.5,37.9,86.4,43.9,9,26.2,34.5,17.1,25.5,66.8,12.5,33.9,46.3,19.4,13.5,7,3.7,4.5,19,21.6,102,101.4,0.6
Golden State Warriors,GSW,82,73,9,89,48.5,42.5,87.3,48.7,13.1,31.6,41.6,16.7,21.8,76.3,10,36.2,46.2,28.9,15.2,8.4,6.1,4.1,20.7,19.8,114.9,104.1,10.8
Houston Rockets,HOU,82,41,41,50,48.4,37.7,83.5,45.2,10.7,30.9,34.7,20.4,29.4,69.4,11.3,31.7,43.1,22.2,15.9,10,5.2,4.9,21.8,22.5,106.5,106.3,0.2
Indiana Pacers,IND,82,45,37,54.9,48.5,38.3,85.2,45,8.1,23,35.1,17.4,22.8,76.4,10.3,33.9,44.2,21.2,14.9,9,4.8,4.5,20,20.4,102.2,100.5,1.7
Los Angeles Clippers,LAC,82,53,29,64.6,48.4,38.3,82.4,46.5,9.7,26.7,36.4,18.2,26.2,69.2,8.8,33.3,42,22.8,13,8.6,5.6,3.2,21.3,22.5,104.5,100.2,4.3
Los Angeles Lakers,LAL,82,17,65,20.7,48.1,35.1,84.8,41.4,7.8,24.6,31.7,19.3,24.7,78.1,10.7,32.3,43,18,13.7,7.2,4.1,5.6,20.3,19.2,97.3,106.9,-9.6
Memphis Grizzlies,MEM,82,42,40,51.2,48.4,36.8,83.6,44,6.1,18.5,33.1,19.3,24.7,78.3,11.2,30.5,41.6,20.7,13.3,8.8,4.3,5.7,21.7,21.1,99.1,101.3,-2.2
Miami Heat,MIA,82,48,34,58.5,48.4,38.4,81.7,47,6.1,18,33.6,17.1,23,74.5,9.8,34.3,44.1,20.8,14.1,6.7,6.5,4.1,18.3,19.6,100,98.4,1.6
Milwaukee Bucks,MIL,82,33,49,40.2,48.4,38.4,82.2,46.7,5.4,15.6,34.5,17,22.7,74.8,10.5,31.2,41.7,23.1,15.2,8.2,5.8,5.6,20.7,19.5,99,103.2,-4.2
Minnesota Timberwolves,MIN,82,29,53,35.4,48.5,37.7,81.3,46.4,5.5,16.4,33.8,21.4,27,79.2,10,31.5,41.6,23.4,15,8,4.6,5.2,20.7,21.6,102.4,105.9,-3.5
New Orleans Pelicans,NOP,82,30,52,36.6,48.2,38.5,85.9,44.8,8.6,23.8,36,17.3,22.2,77.6,9.5,33.1,42.6,22.2,13.4,7.7,4.2,5.2,20.9,19.9,102.7,106.5,-3.8
New York Knicks,NYK,82,32,50,39,48.3,36.9,84,43.9,7.4,21.5,34.6,17.2,21.4,80.5,10.4,34,44.4,20.5,13.4,5.7,5.7,4.2,19.7,18.5,98.4,101.1,-2.7
Oklahoma City Thunder,OKC,82,55,27,67.1,48.4,41.1,86.4,47.6,8.3,23.7,34.9,19.7,25.2,78.2,13.1,35.6,48.6,23,15.9,7.4,5.9,4.5,20.6,20.2,110.2,102.9,7.3
Orlando Magic,ORL,82,35,47,42.7,48.5,39.5,86.8,45.5,7.8,22.2,35,15.2,20.1,75.7,10.3,33,43.3,23.6,14.1,8.2,5.1,5.5,20.7,18.3,102.1,103.7,-1.6
Philadelphia 76ers,PHI,82,10,72,12.2,48.3,36.2,84,43.1,9.3,27.5,33.9,15.7,22.6,69.4,9.5,31.8,41.2,21.5,16.4,8.3,6,5.7,21.7,19.2,97.4,107.6,-10.2
Phoenix Suns,PHX,82,23,59,28,48.1,37.2,85.6,43.5,9,25.8,34.8,17.5,23.2,75.1,11.5,33.3,44.8,20.7,17.2,7.7,3.8,5.5,22.7,21.6,100.9,107.6,-6.7
