"Player","Pos","Season","Age","Tm","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effMin","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS"
"Carrick Felix","SG","2013-2014",28,"WAS",0.5,0.4,0.556,0.571,0.75,0.001,0.185185185185185,0.37037037037037,0.0555555555555556,0.12962962962963,0.12962962962963,0.240740740740741,0.0740740740740741,0.111111111111111,0.0185185185185185,0.12962962962963,0.166666666666667,0.111111111111111,0,0,0.111111111111111,0.111111111111111,0.5
"Damien Wilkins","SG","2013-2014",34,"IND",0.407324503311258,0.272547692307692,0.444114406779661,0.455755364806867,0.751453855878635,0.00358779140277591,0.118228209838743,0.288364589635007,0.0131704980842912,0.0421455938697318,0.097571189279732,0.230066075465137,0.0671437157238374,0.0921934865900383,0.0325237297599107,0.0623161189358373,0.088464544946957,0.0840913536776213,0.0376299945265463,0.0166666666666667,0.0446039722421632,0.0874237855946399,0.312227805695142
"Darius Miller","SF","2015-2016",25,"NOP",0.140093898474619,0,0.170014581564876,0.137348019125683,0,0.00216952486193321,0.0218030379054064,0.152470416554268,0,0.0214681463528173,0.0214510649842447,0.138792215692089,0,0,0,0.0233292234029325,0.025203141834542,0.0438563248304876,0.0221577392805597,0,0.029164064545322,0.18620189219234,0.0410678908119513
"Dwight Buycks","PG","2013-2014",29,"DET",0.313,0.294,0.323,0.365,0.889,0.001,0.105769230769231,0.326923076923077,0.0384615384615385,0.115384615384615,0.0673076923076923,0.211538461538462,0.0576923076923077,0.0576923076923077,0.0288461538461538,0.134615384615385,0.153846153846154,0.0673076923076923,0.0576923076923077,0,0.0673076923076923,0.0769230769230769,0.298076923076923
"Eric Moreland","PF","2014-2015",27,"DET",1,0,1,1,0,0.001,0.428571428571429,0.428571428571429,0,0,0.428571428571429,0.428571428571429,0,0,0,0.428571428571429,0.428571428571429,0,0,0,0,0.428571428571429,1
"Luis Montero","SG","2015-2016",25,"DET",0.263,0.111,0.4,0.289,0.75,0.001,0.114285714285714,0.457142857142857,0.0285714285714286,0.228571428571429,0.0857142857142857,0.228571428571429,0.0857142857142857,0.0857142857142857,0,0.0857142857142857,0.0857142857142857,0.0285714285714286,0,0,0.0857142857142857,0.0285714285714286,0.342857142857143
"Ekpe Udoh","PF","2015-2016",28,"UTA",0.46190618336887,0,0.458972399150743,0.460917197452229,0.782370786516854,0.000984830232040922,0.0800362976406534,0.177595628415301,0,0,0.0793522267206478,0.184033042980411,0.0486783268240222,0.0863928049761205,0.0534700854700855,0.152191894127378,0.207893553045908,0.0375241476158907,0.0419373219373219,0.0524216524216524,0.0515957029718498,0.150603673539453,0.228612508986341
"Nate Wolters","PG","2015-2016",24,"UTA",0.334386581155163,0,0.380224690883843,0.333757865072777,0.351380577485061,0.00369049644644087,0.0770467508836189,0.221979907764267,0,0.0287572735708069,0.0785895026881307,0.184019813043878,0.00872042480540784,0.0258408739130761,0.021297351963249,0.0949400154578937,0.118372536554355,0.0812511652086281,0.0323683378768125,0.00611472858387007,0.0447634502786534,0.0705680788881057,0.158828817677429
"Jack Cooley","PF","2014-2015",27,"SAC",0.409,0,0.409,0.409,0.429,0.001,0.111111111111111,0.259259259259259,0,0,0.111111111111111,0.259259259259259,0.111111111111111,0.240740740740741,0.111111111111111,0.166666666666667,0.296296296296296,0.0185185185185185,0.0740740740740741,0.037037037037037,0.037037037037037,0.259259259259259,0.314814814814815
"JaKarr Sampson","SF","2016-2017",23,"SAC",0.439540669856459,0.256254838709677,0.474728228228228,0.485178571428571,0.669826747037118,0.001,0.119253238244984,0.267711545500209,0.0167289609116934,0.0778318426573191,0.105850233175031,0.205691349389057,0.0696963156762662,0.0934434455554715,0.0268256176226843,0.106756936852671,0.129384469224079,0.0380355526103525,0.0216797828975973,0.0326311708451796,0.0624070274512696,0.110008201609238,0.324163511415905
"Jeremy Evans","SF","2016-2017",29,"ATL",0.546403568582886,0.25,0.693812075667271,0.587733845111175,0.764400231600618,0.00193710830049729,0.12007692993259,0.219671643234757,0.0119047619047619,0.0595238095238095,0.0933931677253479,0.151024254723895,0.0520489066071773,0.0757591668418138,0.0371901632756722,0.176613478251362,0.208584476300642,0.0109635844280241,0.0259002701634159,0.0285239624259588,0.027846393331824,0.0701512896825397,0.303453321241392
"Julyan Stone","SG","2011-2012",30,"CHO",0.419,0.182,0.55,0.452,0.727,0.001,0.0740740740740741,0.172839506172839,0.0123456790123457,0.0617283950617284,0.0617283950617284,0.111111111111111,0.0493827160493827,0.0617283950617284,0.0246913580246914,0.111111111111111,0.135802469135802,0.209876543209877,0.0493827160493827,0.037037037037037,0.0617283950617284,0.0987654320987654,0.197530864197531
"Larry Drew II","G","2017-2018",28,"MIA",0.452195652173913,0.269130434782609,0.492260869565217,0.501804347826087,0.754652173913044,0.001,0.167533925109683,0.367309458218549,0.0435669829609224,0.119885725946332,0.1238649117437,0.247525762677278,0.0805019895928987,0.100601979389858,0.0445872870115294,0.145801448831752,0.19018467503316,0.103152739516376,0.0316294255688195,0.0183654729109275,0.0611162126313641,0.0816243240485665,0.459136822773186
"Lorenzo Brown","PG","2013-2014",28,"TOR",0.302,0.1,0.411,0.32,0.692,0.001,0.116279069767442,0.383720930232558,0.0116279069767442,0.13953488372093,0.104651162790698,0.255813953488372,0.0348837209302326,0.0581395348837209,0.0348837209302326,0.0930232558139535,0.127906976744186,0.186046511627907,0.0581395348837209,0.0116279069767442,0.0697674418604651,0.0813953488372093,0.290697674418605
"Mario Chalmers","PG","2016-2017",30,"MEM",0.420190058479532,0.327852914740627,0.461196196082192,0.46806754921928,0.841558679098988,0.001,0.1333608014958,0.335078996236383,0.0340293528179964,0.10497847048846,0.0949635863408319,0.209020907556794,0.170606449187277,0.218313562288326,0.0173369882457308,0.101081409767977,0.112057379451294,0.186288349104152,0.0517865120641146,0.00835554116991243,0.0843280203280203,0.149167244068656,0.461406094494599
"Quincy Pondexter","SF-SG","2015-2016",27,"CHI",0.412085153134171,0.365951796076529,0.464185970182465,0.515295412844037,0.803030820853787,0.001,0.106269410550149,0.252720583068663,0.0395325349877363,0.127657630887684,0.0637519237243303,0.12377448434065,0.040970475697137,0.0544392072506919,0.0224310046067368,0.0811862565891409,0.107648749594121,0.0645410294818574,0.0126438556858158,0.00930843724188284,0.039174913044878,0.0900177589450761,0.298812149292133
"Shane Larkin","PG","2016-2017",24,"BOS",0.439795511221945,0.353717579250721,0.451543624161074,0.503904761904762,0.776,0.001,0.12070796460177,0.274900398406375,0.0223214285714286,0.0568618527508091,0.0923425067523177,0.221396178553179,0.0544878145432931,0.0679611650485437,0.0142313270485859,0.089998840445269,0.0987012987012987,0.217629482071713,0.0529567519858782,0.00775510204081633,0.0851435935198822,0.0751158870627897,0.322358932355193
"Vander Blue","SG","2013-2014",26,"LAL",0.5,0,0.667,0.5,0.2,0.001,0.14,0.26,0,0.06,0.14,0.2,0.06,0.34,0,0.2,0.2,0.06,0,0,0.14,0.06,0.34
