"Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Season"
"Kareem Abdul-Jabbar*","C",31,"LAL",80,0,39.5,9.7,16.8,0.577,0,0,0,9.7,16.8,0.577,0.577,4.4,5.9,0.736,2.6,10.2,12.8,5.4,1,4,3.5,2.9,23.8,"1978-1979"
"Tom Abernethy","PF",24,"GSW",70,0,17.4,2.5,4.9,0.515,0,0,0,2.5,4.9,0.515,0.515,1,1.3,0.745,1.1,2,3.1,1.1,0.6,0.2,0.5,1.9,6,"1978-1979"
"Alvan Adams","C",24,"PHO",77,0,30.7,7.4,13.9,0.53,0,0,0,7.4,13.9,0.53,0.53,3,3.8,0.799,2.9,6.3,9.2,4.7,1.4,0.8,3.6,3.2,17.8,"1978-1979"
"Lucius Allen","PG",31,"KCK",31,0,13.3,2.2,5.6,0.397,0,0,0,2.2,5.6,0.397,0.397,0.6,1.1,0.576,0.5,1,1.5,1.4,0.7,0.2,1,1.7,5.1,"1978-1979"
"Kim Anderson","SF",23,"POR",21,0,10.7,1.1,3.7,0.312,0,0,0,1.1,3.7,0.312,0.312,0.7,1.3,0.536,0.8,1.3,2.1,0.7,0.2,0.2,1,2,3,"1978-1979"
"Tiny Archibald*","PG",30,"BOS",69,0,24.1,3.8,8.3,0.452,0,0,0,3.8,8.3,0.452,0.452,3.5,4.4,0.788,0.4,1.1,1.5,4.7,0.8,0.1,2.9,1.9,11,"1978-1979"
"Tate Armstrong","SG",23,"CHI",26,0,10,1.1,2.7,0.4,0,0,0,1.1,2.7,0.4,0.4,0.4,0.5,0.769,0.3,0.5,0.8,1.2,0.4,0,0.8,0.8,2.5,"1978-1979"
"Dennis Awtrey","C",30,"TOT",63,0,11.8,0.7,1.7,0.411,0,0,0,0.7,1.7,0.411,0.411,0.7,0.9,0.732,0.7,1.7,2.4,1.1,0.3,0.2,0.8,1.7,2,"1978-1979"
"Dennis Awtrey","C",30,"BOS",23,0,10.7,0.7,1.9,0.386,0,0,0,0.7,1.9,0.386,0.386,0.7,0.9,0.8,0.6,1.5,2,0.9,0.1,0.3,0.9,1.6,2.2,"1978-1979"
"Dennis Awtrey","C",30,"SEA",40,0,12.5,0.7,1.6,0.429,0,0,0,0.7,1.6,0.429,0.429,0.6,0.9,0.694,0.7,1.9,2.6,1.2,0.3,0.2,0.8,1.7,2,"1978-1979"
"Gus Bailey","SG",27,"NOJ",2,0,4.5,1,3.5,0.286,0,0,0,1,3.5,0.286,0.286,0,0,0,1,0,1,1,0,0,0.5,0.5,2,"1978-1979"
"Greg Ballard","SF",24,"WSB",82,0,18.9,3.2,6.8,0.465,0,0,0,3.2,6.8,0.465,0.465,1.5,2.1,0.692,1.7,3.7,5.5,1.4,0.7,0.4,1.2,2,7.8,"1978-1979"
"Mike Bantom","PF",27,"IND",81,0,31.2,6,12.8,0.465,0,0,0,6,12.8,0.465,0.465,2.8,4.2,0.672,2.8,5.2,8,2.8,1.2,0.8,2.4,3.9,14.7,"1978-1979"
"Tom Barker","C",23,"TOT",39,0,12.2,1.7,4,0.436,0,0,0,1.7,4,0.436,0.436,0.7,0.9,0.73,1.2,1.9,3.1,0.4,0.3,0.3,0.9,1.9,4.2,"1978-1979"
"Tom Barker","C",23,"HOU",5,0,3.2,0.6,1.2,0.5,0,0,0,0.6,1.2,0.5,0.5,0.4,0.4,1,0.4,0.8,1.2,0,0,0,0.2,1,1.6,"1978-1979"
"Tom Barker","C",23,"BOS",12,0,10.9,1.8,4,0.438,0,0,0,1.8,4,0.438,0.438,0.9,1.3,0.733,1,1.5,2.5,0.5,0.3,0.3,1.1,2.2,4.4,"1978-1979"
"Tom Barker","C",23,"NYK",22,0,15,2,4.6,0.431,0,0,0,2,4.6,0.431,0.431,0.6,0.9,0.7,1.4,2.4,3.8,0.4,0.3,0.3,0.9,2,4.6,"1978-1979"
"Marvin Barnes","PF",26,"BOS",38,0,20.9,3.5,7.1,0.491,0,0,0,3.5,7.1,0.491,0.491,1.1,1.7,0.652,1.5,3.2,4.7,1.4,1,1,1.8,3.8,8.1,"1978-1979"
"Rick Barry*","SF",34,"HOU",80,0,32.1,5.8,12.5,0.461,0,0,0,5.8,12.5,0.461,0.461,2,2.1,0.947,0.5,3,3.5,6.3,1.2,0.5,2.5,2.4,13.5,"1978-1979"
"Tim Bassett","PF",27,"NJN",82,0,18.4,1.4,3.8,0.371,0,0,0,1.4,3.8,0.371,0.371,1.1,1.6,0.679,2.1,3,5.1,1.2,0.5,0.4,1.3,2.7,3.9,"1978-1979"
"Butch Beard","PG",31,"NYK",7,0,12.1,1.6,3.7,0.423,0,0,0,1.6,3.7,0.423,0.423,0,0,0,0.1,1.3,1.4,2.7,1,0,1.4,1.9,3.1,"1978-1979"
"Ron Behagen","PF",28,"TOT",15,0,11,1.9,4.1,0.452,0,0,0,1.9,4.1,0.452,0.452,0.7,0.9,0.769,0.9,1.9,2.8,0.5,0.3,0.1,0.7,2.4,4.4,"1978-1979"
"Ron Behagen","PF",28,"DET",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"1978-1979"
"Ron Behagen","PF",28,"NYK",5,0,7.6,1,2.4,0.417,0,0,0,1,2.4,0.417,0.417,0.4,0.4,1,0.4,1.8,2.2,0.4,0.4,0,0.8,1.6,2.4,"1978-1979"
"Ron Behagen","PF",28,"KCK",9,0,14,2.6,5.6,0.46,0,0,0,2.6,5.6,0.46,0.46,0.9,1.2,0.727,1.2,2.2,3.4,0.6,0.2,0.1,0.7,3,6,"1978-1979"
"Kent Benson","C",24,"MIL",82,0,26,5,9.7,0.518,0,0,0,5,9.7,0.518,0.518,2.2,3,0.735,2.3,4.8,7.1,2.5,1.1,1,1.9,3.4,12.3,"1978-1979"
"Del Beshore","PG",22,"MIL",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1978-1979"
