"Player","Pos","Season","Age","Tm","Exp","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effMin","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS"
"A.J. Hammons","C","2017-2018",26,"MIA","1",0.405,0.5,0.375,0.464,0.45,0.000551490514905149,0.108108108108108,0.256756756756757,0.027027027027027,0.0675675675675676,0.0675675675675676,0.202702702702703,0.0540540540540541,0.121621621621622,0.0540540540540541,0.175675675675676,0.216216216216216,0.027027027027027,0,0.0810810810810811,0.0675675675675676,0.135135135135135,0.297297297297297
"Aaron Brooks","G","2017-2018",33,"MIN","9",0.396945024752475,0.383070612094395,0.410109866163799,0.471852789145421,0.807389162561576,0.00325924702131561,0.13650278545853,0.326938542537567,0.0476608801972284,0.132863192021305,0.0849752843010961,0.199860008687754,0.0324736103531445,0.0415078025411978,0.0279047159342097,0.0582913985828688,0.0855074739995718,0.14631812418411,0.0248268135738562,0.00651974836757445,0.0753160189043513,0.0892937675610855,0.34560006164018
"Aaron Gordon","PF","2017-2018",23,"ORL","3",0.458410413718627,0.293378704225352,0.53136076326774,0.509184940025427,0.731330966906055,0.00699922027472081,0.173441085464494,0.367361937792045,0.0264829264657502,0.110956921491927,0.136995678774655,0.263653348569126,0.0668754035882904,0.0902607220928469,0.0458195194585388,0.134196170070727,0.180801914665409,0.0752586269122831,0.031044755384989,0.0153796498401989,0.0388846253748304,0.0765479687869613,0.44691106590045
"Adreian Payne","F-C","2017-2018",27,"ORL","3",0.422358974358974,0.188630490956072,0.516140816326531,0.450119658119658,0.742590391908976,0.0016717959042798,0.163613171446119,0.393460008837826,0.0266666666666667,0.132541254125413,0.135514936108996,0.271452252252252,0.0964231862563342,0.125376344086022,0.0644297763109644,0.176219621962196,0.23974373907979,0.0652120214079868,0.0663976945244957,0.0568888888888889,0.0554666666666667,0.273548387096774,0.435521739130435
"Al Horford","C","2017-2018",32,"BOS","10",0.486048173719725,0.411823726858698,0.534123947944259,0.559706747035186,0.800782648572448,0.00808212911907106,0.182470641205834,0.364444576573784,0.0699525815925588,0.162712573788682,0.129236797938553,0.240274408046887,0.0475695484039446,0.0609154386831845,0.0424439309877049,0.149772138646005,0.184214213205456,0.148855956008855,0.0254479832957193,0.0400652867284615,0.0482844862993604,0.0611102978654534,0.456083441954696
"Al Jefferson","C-F","2017-2018",33,"IND","13",0.489291278106777,0,0.488885972554188,0.490423757700205,0.756128134180722,0.00328221396170389,0.212398600199539,0.446497312050983,0,0,0.212398600199539,0.420534155976485,0.0577862242289481,0.0727481147560605,0.074499951111602,0.214686239748354,0.286747787378694,0.0691588724888188,0.0198691225518238,0.0135753362418273,0.0319408134167481,0.146485053377598,0.511289736967977
"Al-Farouq Aminu","PF","2017-2018",28,"POR","7",0.393,0.360906344410876,0.468261363636364,0.504972972972973,0.70872236503856,0.00622292588756003,0.106945736463754,0.273387406304691,0.0655027657625271,0.152354928800469,0.0670143680493547,0.136974335988231,0.0618556701030928,0.0898199817144298,0.0452711788435679,0.229563908402518,0.250968850033518,0.0494845360824742,0.0364065499993885,0.022863268072764,0.0509068327594495,0.0599418473011587,0.328977550715232
"Alan Williams","F-C","2017-2018",25,"PHO","2",0.527338823462479,0,0.530498224251649,0.527338823462479,0.653690868440878,0.00362030602397329,0.184978816235678,0.365291062921496,0,0,0.184978816235678,0.365291062921496,0.0944011951289068,0.151599816457902,0.137019533188476,0.270676644773267,0.397021466448385,0.0323104028795042,0.0404945668476881,0.0269392404173187,0.050413706469543,0.167962771940665,0.436861850025677
"Alec Burks","SG","2017-2018",27,"UTA","6",0.392566352739726,0.331099197247706,0.420083436369465,0.437638107673765,0.747625577146418,0.00375262359685824,0.153188438865234,0.39182675960243,0.0364167757676512,0.114013393139479,0.114777380365103,0.27136519305888,0.0765814461134855,0.112662093108181,0.0220027990284724,0.159604739706338,0.177776891502246,0.0469450364296178,0.0214656778452476,0.00684917636847927,0.0567962336445585,0.0764253828185579,0.424591634767731
"Alex Abrines","SG","2017-2018",25,"OKC","1",0.377774818401937,0.350289672544081,0.416596026490066,0.498906593406593,0.91195197740113,0.00379260475297061,0.126008064516129,0.333281176654671,0.0743833017077799,0.216083229732382,0.0461465119974575,0.101204819277108,0.0398665183537264,0.0442961315041404,0.021357063403782,0.0711902113459399,0.0891195979071396,0.0374423963133641,0.0240963855421687,0.00432027649769585,0.0309182726991652,0.117511520737327,0.34878678757942
