"Player","Pos","Season","Age","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effMin","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","Tm"
"A.J. Hammons","C","2017-2018",25,0.405,0.5,0.375,0.464,0.45,0.000551490514905149,0.108108108108108,0.256756756756757,0.027027027027027,0.0675675675675676,0.0675675675675676,0.202702702702703,0.0540540540540541,0.121621621621622,0.0540540540540541,0.175675675675676,0.216216216216216,0.027027027027027,0,0.0810810810810811,0.0675675675675676,0.135135135135135,0.297297297297297,"DAL"
"Andrew Bogut","C","2017-2018",33,0.417817371937639,0,0.420119521912351,0.417817371937639,0.253578523489933,0.00310869871704497,0.0679356812169312,0.121910960196189,0,0,0.0679356812169312,0.121910960196189,0.00471781305114639,0.0220458553791887,0.118818681318681,0.280207321023647,0.408876050420168,0.0631720430107527,0.00768032693187014,0.058843537414966,0.0842293906810036,0.150970017636684,0.119714506172839,"DAL"
"Ben Bentil","PF","2017-2018",22,0,0,0,0,0,3.35365853658537e-05,0,0.303030303030303,0,0.0909090909090909,0,0.212121212121212,0,0,0,0.212121212121212,0.212121212121212,0,0,0,0.0909090909090909,0.0909090909090909,0,"DAL"
"DeAndre Liggins","SG","2017-2018",29,0.363610646358435,0.315161290322581,0.380097287083277,0.427691351274249,0.69654133332391,0.00276353949005259,0.0677002263170951,0.189555817679083,0.0228544523205878,0.0512746713071552,0.0474498146431881,0.124048837413862,0.0338607123870282,0.0498092503987241,0.030816493063889,0.112561480709474,0.154642086698227,0.0793558397986999,0.0638486658701713,0.0163612903225806,0.062392708368804,0.110758595859586,0.187310509364189,"DAL"
"Deron Williams","PG","2017-2018",33,0.42267,0.370058333333333,0.450881118881119,0.491854736842105,0.857259174311927,0.00574214532795735,0.135335551040964,0.325839734353403,0.040126861555433,0.111967864068704,0.0921217442956573,0.200115449541591,0.0520329024676851,0.0630857551314374,0.00647371324063054,0.0942840942840943,0.0938688419891427,0.222048364153627,0.013872242658494,0.00323685662031527,0.0760558360558361,0.0848837455980313,0.374816728425638,"DAL"
"Devin Harris","PG","2017-2018",34,0.392783021052257,0.37309780278671,0.444669959554744,0.504730193615908,0.753134000236754,0.00455782118149124,0.126390076988879,0.303371088817917,0.0654332835684418,0.171188714789014,0.0610047717832149,0.149350334382737,0.0847978333008273,0.117083119649416,0.01181519744394,0.101825100488488,0.11320492710888,0.130262496289935,0.0457137008035212,0.00591125441424843,0.0507130230184122,0.103472249922207,0.419939551616424,"DAL"
"Dirk Nowitzki","PF","2017-2018",39,0.463121570126576,0.325127419354839,0.485789493396412,0.525328227571116,0.830129048264734,0.00525146454939397,0.190014349592817,0.415453979066096,0.025268036631673,0.108567421326399,0.13619311271245,0.286382398917767,0.0607850933084013,0.0726120512463745,0.00618524099187083,0.251808692284399,0.258468049652005,0.0511257025775849,0.0180849860407871,0.0223645921159733,0.0326274233230537,0.0906061270829999,0.48968047683489,"DAL"
"Dorian Finney-Smith","PF","2017-2018",24,0.345813664596273,0.25936253776435,0.434293333333333,0.414229007633588,0.767642943305187,0.00578213351337666,0.0713544618335586,0.201234341458113,0.0322239377823526,0.11798080763598,0.0389983579638752,0.0971093222651481,0.0347642505277973,0.0389523936321966,0.0253489326765189,0.0949096880131363,0.129400694799423,0.0317978885176286,0.0297310257639827,0.0131819011129356,0.0268078273412623,0.077398155113029,0.208590427979155,"DAL"
"Dwight Powell","C","2017-2018",26,0.476640541594992,0.284,0.537192649034722,0.501629463193176,0.784940103438636,0.0044509622311413,0.136923273684022,0.314093888023837,0.0173410404624277,0.0578034682080925,0.106740533247967,0.223316491943782,0.0773270975933856,0.0949775509119784,0.051180409985801,0.150459522318046,0.205339980428294,0.0401119097502565,0.037020603505247,0.0279641348739135,0.0235235495540563,0.102593232970718,0.400326058619972,"DAL"
"Harrison Barnes","PF","2017-2018",25,0.452101910828026,0.313717616580311,0.487950617283951,0.475228628230616,0.848603403141361,0.00919969512195122,0.198359103015869,0.45624943604551,0.0291509405013962,0.0843711059925235,0.16017674675504,0.363683112876039,0.0830318820878803,0.0964241211343126,0.0397680198840099,0.10719490062272,0.155522776023085,0.0385681227323372,0.0220933443800055,0.00438291459701421,0.0391722992108145,0.0421855529962618,0.542111315831777,"DAL"
"J.J. Barea","PG","2017-2018",33,0.412471778994999,0.397694609225583,0.448918569424965,0.516016169657422,0.878927805436461,0.00654586570149937,0.161792126233903,0.391275572618758,0.0840156195440452,0.219510152545867,0.0816070271970687,0.189602030994614,0.0531835521191608,0.0598782392236706,0.0112324189416026,0.105371652157366,0.11583267073063,0.243488190185762,0.0148194530337387,0,0.0863168692706824,0.0378882361025218,0.451528212490169,"DAL"
"Jarrod Uthoff","PF","2017-2018",24,0.421,0.333,0.448,0.461,0.714,0.000390243902439024,0.140625,0.328125,0.0234375,0.078125,0.109375,0.25,0.046875,0.0625,0.0703125,0.125,0.1875,0.078125,0.015625,0.03125,0.0234375,0.0703125,0.34375,"DAL"
"Jonathan Gibson","PG","2017-2018",30,0.368,0.333,0.4,0.447,0.724,0.00078319783197832,0.154411764705882,0.411764705882353,0.0661764705882353,0.191176470588235,0.0882352941176471,0.213235294117647,0.0882352941176471,0.125,0.00735294117647059,0.0882352941176471,0.0955882352941177,0.110294117647059,0.0367647058823529,0,0.0882352941176471,0.0882352941176471,0.455882352941177,"DAL"
"Justin Anderson","SF","2017-2018",24,0.426093827160494,0.369018987341772,0.453454545454545,0.505047984644914,0.790040048543689,0.00409136546184739,0.168232492410761,0.461661258243484,0.0682888764119791,0.216159190830106,0.105734673226561,0.251238467610288,0.0668746187225912,0.0791747718090678,0.0558880742181655,0.133898511147688,0.183226684737956,0.0570090173617861,0.0317996725578271,0.0186293580727218,0.0607084657922154,0.0817847464188927,0.54365363909617,"DAL"
"Manny Harris","SG","2017-2018",28,0.2,0,0.231,0.2,0.5,8.53658536585366e-05,0.126984126984127,0.603174603174603,0,0.0793650793650794,0.126984126984127,0.523809523809524,0.0793650793650794,0.158730158730159,0.126984126984127,0.238095238095238,0.365079365079365,0.0793650793650794,0,0,0.0793650793650794,0.0476190476190476,0.317460317460317,"DAL"
"Nerlens Noel","C","2017-2018",23,0.580378071833648,0,0.58238418079096,0.588251417769376,0.753185694635488,0.00583791208791209,0.188259311969377,0.335052572651915,0,0,0.187268894911171,0.313348552204734,0.0813466162830642,0.104394824229932,0.0884644452078324,0.181396305851443,0.271727295756203,0.0488079697698385,0.0609958338389354,0.0401721664275466,0.0465568758251685,0.124023457736701,0.447683707566909,"DAL"
"Nicolas Brussino","SF","2017-2018",24,0.369,0.305,0.5,0.472,0.773,0.00175609756097561,0.104166666666667,0.270833333333333,0.0520833333333333,0.1875,0.0416666666666667,0.09375,0.03125,0.0416666666666667,0.0520833333333333,0.135416666666667,0.1875,0.09375,0.03125,0.0104166666666667,0.0520833333333333,0.0833333333333333,0.291666666666667,"DAL"
"Pierre Jackson","PG","2017-2018",26,0.333,0.273,0.357,0.372,0.857,0.000284552845528455,0.152380952380952,0.466666666666667,0.0380952380952381,0.133333333333333,0.123809523809524,0.333333333333333,0.0761904761904762,0.0857142857142857,0.00952380952380952,0.0952380952380952,0.104761904761905,0.228571428571429,0.0285714285714286,0,0.0380952380952381,0.0571428571428571,0.419047619047619,"DAL"
"Quincy Acy","PF","2017-2018",27,0.413814977973568,0.411,0.415523421588595,0.545460093896714,0.765548780487805,0.00407321836890244,0.125979505726341,0.318527727546715,0.0680272108843537,0.162907569904753,0.0633287684959418,0.143260919017289,0.0842056020115783,0.112676552273558,0.0233904450032162,0.162246333132409,0.211095894986472,0.0340260852093543,0.0269509077516357,0.0249498080034306,0.0411636995223621,0.125510204081633,0.438318305019416,"DAL"
