"player_code","player_name"
"4250","luke-babbitt"
"6637","kent-bazemore"
"3190","marco-belinelli"
"3062667","deandre'-bembry"
"2982349","tyler-cavanaugh"
"3908845","john-collins"
"2580913","dewayne-dedmon"
"2282205","malcolm-delaney"
"3915560","tyler-dorsey"
"2767","ersan-ilyasova"
"4064727","josh-magette"
"2490089","mike-muscala"
"6616","miles-plumlee"
"2990962","taurean-prince"
"3032979","dennis-schroder"
"3059336","isaiah-taylor"
"3134880","kadeem-allen"
"2968439","aron-baynes"
"3064308","jabari-bird"
"3917376","jaylen-brown"
"4249","gordon-hayward"
"3213","al-horford"
"6442","kyrie-irving"
"2596158","shane-larkin"
"6462","marcus-morris"
"2595435","abdel-nader"
"3056602","semi-ojeleye"
"3074752","terry-rozier"
"2990992","marcus-smart"
"4065648","jayson-tatum"
"2451037","daniel-theis"
"4017844","guerschon-yabusele"
"6576","quincy-acy"
"4066328","jarrett-allen"
"3970","demarre-carroll"
"2531210","allen-crabbe"
"2580782","spencer-dinwiddie"
"2528794","joe-harris"
"3064291","rondae-hollis-jefferson"
"2991043","caris-levert"
"4299","jeremy-lin"
"4298","timofey-mozgov"
"3135048","jahlil-okafor"
"4241228","yakuba-ouattara"
"3136776","d'angelo-russell"
"2991042","nik-stauskas"
"3136477","isaiah-whitehead"
"2995079","jacob-wiley"
"6631","tyler-zeller"
"3907821","dwayne-bacon"
"3416","nicolas-batum"
"2596108","michael-carter-williams"
"2595231","treveon-graham"
"2384","dwight-howard"
"2579294","frank-kaminsky"
"6601","michael-kidd-gilchrist"
"6603","jeremy-lamb"
"2991054","mangok-mathiang"
"4066262","malik-monk"
"2581084","johnny-o'bryant-iii"
"2982329","marcus-paige"
"6543","julyan-stone"
"6479","kemba-walker"
"2797","marvin-williams"
"2579258","cody-zeller"
"2991047","ryan-arcidiacono"
"3907386","antonio-blakeney"
"2991139","kris-dunn"
"3062892","kay-felder"
"3113587","cristiano-felicio"
"2531047","jerian-grant"
"2284101","justin-holiday"
"3064440","zach-lavine"
"3447","robin-lopez"
"4066336","lauri-markkanen"
"6459","nikola-mirotic"
"3062744","david-nwaba"
"3064230","cameron-payne"
"4253","quincy-pondexter"
"3064482","bobby-portis"
"2999549","denzel-valentine"
"3893023","paul-zipser"
"2806","jose-calderon"
"6581","jae-crowder"
"2754","channing-frye"
"3209","jeff-green"
"2282117","john-holland"
"1966","lebron-james"
"2011","kyle-korver"
"3449","kevin-love"
"3893016","cedi-osman"
"3059286","london-perrantes"
"3456","derrick-rose"
"6468","iman-shumpert"
"2444","jr-smith"
"6472","isaiah-thomas"
"6474","tristan-thompson"
"1987","dwyane-wade"
"4017838","ante-zizic"
"3055","j.j.-barea"
"6578","harrison-barnes"
"3064237","antonius-cleveland"
"2326307","seth-curry"
"2991018","yogi-ferrell"
"2578185","dorian-finney-smith"
"2382","devin-harris"
"2960236","maximilian-kleber"
"4032","wesley-matthews"
"3220","josh-mcroberts"
"2968458","salah-mejri"
"3059306","johnathan-motley"
"2991280","nerlens-noel"
"609","dirk-nowitzki"
"2531367","dwight-powell"
"4065697","dennis-smith-jr."
"2333797","jeff-withey"
"3413","darrell-arthur"
"6579","will-barton"
"3907822","malik-beasley"
"3194","wilson-chandler"
"2528693","torrey-craig"
"6433","kenneth-faried"
"2999547","gary-harris"
"4017839","juan-hernangomez"
"1006","richard-jefferson"
"3112335","nikola-jokic"
"3934662","tyler-lydon"
"3136196","trey-lyles"
"3015","paul-millsap"
"3059310","monte-morris"
"3892818","emmanuel-mudiay"
"3936299","jamal-murray"
"2488653","mason-plumlee"
"4240","avery-bradley"
"2528779","reggie-bullock"
"6503","dwight-buycks"
"6585","andre-drummond"
"3906522","henry-ellenson"
"2530572","langston-galloway"
"6440","tobias-harris"
"6443","reggie-jackson"
"3134881","stanley-johnson"
"3913174","luke-kennard"
"6452","jon-leuer"
"4376","boban-marjanovic"
"3911666","luis-montero"
"2531352","eric-moreland"
"4305","ish-smith"
"3276","anthony-tolliver"
"3064427","jordan-bell"
"3948153","chris-boucher"
"3554","omri-casspi"
"2566745","quinn-cook"
"3975","stephen-curry"
"3202","kevin-durant"
"6589","draymond-green"
"2386","andre-iguodala"
"3064559","damian-jones"
"2393","shaun-livingston"
"3155535","kevon-looney"
"3137730","patrick-mccaw"
"3452","javale-mcgee"
"2016","zaza-pachulia"
"6475","klay-thompson"
"2177","david-west"
"3243","nick-young"
"3412","ryan-anderson"
"2426","trevor-ariza"
"2528393","tarik-black"
"3472","bobby-brown"
"3102529","clint-capela"
"3431","eric-gordon"
"3992","james-harden"
"1713","nene-hilario"
"3059273","demetrius-jackson"
"3451","luc-mbah-a-moute"
"3147366","chinanu-onuaku"
"2779","chris-paul"
"3892894","zhou-qi"
"3033","pj-tucker"
"2595229","briante-weber"
"3078286","troy-williams"
"4066424","ike-anigbogu"
"3593","bojan-bogdanovic"
"3973","darren-collison"
"2389","al-jefferson"
"6446","cory-joseph"
"4066425","t.j.-leaf"
"2527963","victor-oladipo"
"2991283","alex-poythress"
"2991039","glenn-robinson-iii"
"3155942","domantas-sabonis"
"4244","lance-stephenson"
"3136485","edmond-sumner"
"3133628","myles-turner"
"2506","damien-wilkins"
"2528386","joe-young"
"3244","thaddeus-young"
"3964","patrick-beverley"
"2991184","sam-dekker"
"3912854","jawun-evans"
"3428","danilo-gallinari"
"3989","blake-griffin"
"2991055","montrezl-harrell"
"2982330","brice-johnson"
"4247","wesley-johnson"
"3442","deandre-jordan"
"2326015","willie-reed"
"6617","austin-rivers"
"4192","milos-teodosic"
"3064539","sindarius-thornwell"
"2325499","c.j.-williams"
"2799","lou-williams"
"2488977","jamil-wilson"
"4066421","lonzo-ball"
"2531039","vander-blue"
"2747","andrew-bogut"
"3191","corey-brewer"
"3934723","thomas-bryant"
"2581018","kentavious-caldwell-pope"
"2991350","alex-caruso"
"2528426","jordan-clarkson"
"2429","luol-deng"
"3059281","tyler-ennis"
"3062679","josh-hart"
"3913176","brandon-ingram"
"3134907","kyle-kuzma"
"3448","brook-lopez"
"2580365","larry-nance-jr."
"3064514","julius-randle"
"4017837","ivica-zubac"
"3155526","dillon-brooks"
"3419","mario-chalmers"
"3195","mike-conley"
"3937101","deyonta-davis"
"2579321","james-ennis-iii"
"3983","tyreke-evans"
"3206","marc-gasol"
"2327577","jamychal-green"
"3064511","andrew-harrison"
"3057304","vince-hunter"
"3064517","jarell-martin"
"2578213","ben-mclemore"
"6466","chandler-parsons"
"3917378","ivan-rabb"
"3059316","wayne-selden"
"4066335","kobi-simmons"
"3242","brandan-wright"
"4066261","bam-adebayo"
"3423","goran-dragic"
"3981","wayne-ellington"
"2991178","aj-hammons"
"2184","udonis-haslem"
"3999","james-johnson"
"2530276","tyler-johnson"
"2488826","rodney-mcgruder"
"3064520","jordan-mickey"
"2489663","kelly-olynyk"
"2581190","josh-richardson"
"6628","dion-waiters"
"3056273","derrick-walton-jr."
"2528473","okaro-white"
"4262","hassan-whiteside"
"2991295","matt-williams"
"3135047","justise-winslow"
"3032977","giannis-antetokounmpo"
"4238","eric-bledsoe"
"2983551","joel-bolomboy"
"2566769","malcolm-brogdon"
"3057187","sterling-brown"
"2489716","matthew-dellavedova"
"6592","john-henson"
"6453","deandre-liggins"
"4017843","thon-maker"
"6609","khris-middleton"
"3056600","jabari-parker"
"3134903","gary-payton-ii"
"2528353","tony-snell"
"4385","mirza-teletovic"
"841","jason-terry"
"3137733","rashad-vaughn"
"3136491","d.j.-wilson"
"4267","cole-aldrich"
"4269","nemanja-bjelica"
"3192","aaron-brooks"
"2531362","anthony-brown"
"6430","jimmy-butler"
"165","jamal-crawford"
"2534781","gorgui-dieng"
"2982261","marcus-georges-hunt"
"3986","taj-gibson"
"3135046","tyus-jones"
"2993875","shabazz-muhammad"
"3912332","justin-patton"
"4015","jeff-teague"
"3136195","karl-anthony-towns"
"3059319","andrew-wiggins"
"3410","alexis-ajinca"
"2367","tony-allen"
"3414","omer-asik"
"2489785","ian-clark"
"2988387","charles-cooke"
"4258","demarcus-cousins"
"3974","dante-cunningham"
"6583","anthony-davis"
"3919335","cheick-diallo"
"2488958","solomon-hill"
"3995","jrue-holiday"
"4065651","frank-jackson"
"2579476","jalen-jones"
"6610","darius-miller"
"6460","e'twaun-moore"
"2439","jameer-nelson"
"3026","rajon-rondo"
"2580349","ron-baker"
"3418","michael-beasley"
"2991149","damyean-dotson"
"2528210","tim-hardaway-jr."
"2999409","willy-hernangomez"
"3074765","isaiah-hicks"
"2768","jarrett-jack"
"6447","enes-kanter"
"3064560","luke-kornet"
"3445","courtney-lee"
"2528588","doug-mcdermott"
"3224","joakim-noah"
"4230547","frank-ntilikina"
"6615","kyle-o'quinn"
"3102531","kristaps-porzingis"
"3231","ramon-sessions"
"6485","lance-thomas"
"2995702","alex-abrines"
"2991235","steven-adams"
"1975","carmelo-anthony"
"1978","nick-collison"
"3923250","pj-dozier"
"2753","raymond-felton"
"4230546","terrance-ferguson"
"4251","paul-george"
"2991070","jerami-grant"
"3147351","daniel-hamilton"
"2531364","josh-huestis"
"3064516","dakari-johnson"
"4264","patrick-patterson"
"2530596","andre-roberson"
"6469","kyle-singler"
"3468","russell-westbrook"
"3187","arron-afflalo"
"3059276","jamel-artis"
