"Date","StartTime","teamH","teamA"
2016-10-25,"08:00 pm","CLE","NYK"
2016-10-25,"10:00 pm","POR","UTA"
2016-10-25,"10:30 pm","GSW","SAS"
2016-10-26,"07:00 pm","IND","DAL"
2016-10-26,"07:00 pm","ORL","MIA"
2016-10-26,"07:30 pm","BOS","BRK"
2016-10-26,"07:30 pm","TOR","DET"
2016-10-26,"08:00 pm","MIL","CHO"
2016-10-26,"08:00 pm","NOP","DEN"
2016-10-26,"08:00 pm","MEM","MIN"
2016-10-26,"08:00 pm","PHI","OKC"
2016-10-26,"10:00 pm","PHO","SAC"
2016-10-26,"10:30 pm","LAL","HOU"
2016-10-27,"07:30 pm","ATL","WAS"
2016-10-27,"08:00 pm","CHI","BOS"
2016-10-27,"10:30 pm","POR","LAC"
2016-10-27,"10:30 pm","SAC","SAS"
2016-10-28,"07:00 pm","TOR","CLE"
2016-10-28,"07:30 pm","BRK","IND"
2016-10-28,"07:30 pm","DET","ORL"
2016-10-28,"08:00 pm","MIA","CHO"
2016-10-28,"08:00 pm","OKC","PHO"
2016-10-28,"08:30 pm","DAL","HOU"
2016-10-28,"09:00 pm","UTA","LAL"
2016-10-28,"09:30 pm","NOP","GSW"
2016-10-29,"01:00 pm","PHI","ATL"
2016-10-29,"07:00 pm","CHO","BOS"
2016-10-29,"07:30 pm","NYK","MEM"
2016-10-29,"07:30 pm","CLE","ORL"
2016-10-29,"08:00 pm","MIL","BRK"
2016-10-29,"08:00 pm","CHI","IND"
2016-10-29,"08:00 pm","SAS","NOP"
2016-10-29,"09:00 pm","DEN","POR"
2016-10-29,"10:30 pm","SAC","MIN"
2016-10-30,"04:30 pm","LAC","UTA"
2016-10-30,"06:00 pm","PHO","GSW"
2016-10-30,"06:00 pm","DET","MIL"
2016-10-30,"06:00 pm","MIA","SAS"
2016-10-30,"07:00 pm","OKC","LAL"
2016-10-30,"07:00 pm","MEM","WAS"
2016-10-30,"08:00 pm","HOU","DAL"
2016-10-31,"07:30 pm","BRK","CHI"
2016-10-31,"07:30 pm","TOR","DEN"
2016-10-31,"07:30 pm","ATL","SAC"
2016-10-31,"10:30 pm","LAC","PHO"
2016-11-01,"07:00 pm","CLE","HOU"
2016-11-01,"07:00 pm","IND","LAL"
2016-11-01,"07:00 pm","PHI","ORL"
2016-11-01,"07:30 pm","DET","NYK"
2016-11-01,"07:30 pm","MIA","SAC"
2016-11-01,"08:00 pm","MIN","MEM"
2016-11-01,"08:00 pm","NOP","MIL"
2016-11-01,"08:30 pm","SAS","UTA"
2016-11-01,"10:00 pm","POR","GSW"
2016-11-02,"07:00 pm","CHO","PHI"
2016-11-02,"07:00 pm","WAS","TOR"
2016-11-02,"07:30 pm","BRK","DET"
2016-11-02,"07:30 pm","NYK","HOU"
2016-11-02,"07:30 pm","ATL","LAL"
2016-11-02,"08:00 pm","BOS","CHI"
2016-11-02,"08:00 pm","MEM","NOP"
2016-11-02,"09:00 pm","UTA","DAL"
2016-11-02,"10:00 pm","PHO","POR"
2016-11-02,"10:30 pm","LAC","OKC"
2016-11-03,"07:00 pm","ORL","SAC"
2016-11-03,"08:00 pm","CLE","BOS"
2016-11-03,"08:00 pm","MIN","DEN"
2016-11-03,"08:00 pm","MIL","IND"
2016-11-03,"10:30 pm","GSW","OKC"
2016-11-04,"07:00 pm","WAS","ATL"
2016-11-04,"07:30 pm","BRK","CHO"
2016-11-04,"07:30 pm","TOR","MIA"
2016-11-04,"08:00 pm","MEM","LAC"
2016-11-04,"08:00 pm","CHI","NYK"
2016-11-04,"08:00 pm","NOP","PHO"
2016-11-04,"08:30 pm","DAL","POR"
2016-11-04,"09:00 pm","UTA","SAS"
2016-11-04,"10:30 pm","LAL","GSW"
2016-11-05,"06:00 pm","OKC","MIN"
2016-11-05,"07:00 pm","IND","CHI"
2016-11-05,"07:00 pm","PHI","CLE"
2016-11-05,"07:00 pm","DET","DEN"
