"Player","Age","Tm","G","MP","FG","FGA","X3P","X3PA","X2P","X2PA","eFG.","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","College","FG.","X3P.","X2P.","FT.","Season"
"Abdel Nader",25,"BOS",33.5,23.75,3.4,7.45,1,3.1,2.4,4.4,0.5025,1.6,2.15,0.7,3.2,3.95,1.1,0.75,0.6,1.75,2.2,9.35,"Iowa State University",0.456375838926175,0.32258064516129,0.545454545454545,0.744186046511628,"2017-2018"
"Alec Peters",23,"PHO",33.3333333333333,32.6,6.4,13.2333333333333,2.3,5.43333333333333,4.13333333333333,7.83333333333333,0.576,4.2,4.86666666666667,2.33333333333333,6.1,8.4,1.56666666666667,0.733333333333333,0.333333333333333,1.83333333333333,2.1,19.4,"Valparaiso University",0.483627204030227,0.423312883435583,0.527659574468085,0.863013698630137,"2017-2018"
"Alfonzo McKinnie",26,"TOR",33,21.6,3.2,7,0.6,1.9,2.5,5.1,0.498,1,2,2,3.4,5.3,0.2,0.5,0.5,1.4,3.4,8,"University of Wisconsin-Green Bay",0.457142857142857,0.315789473684211,0.490196078431373,0.5,"2017-2018"
"Antonio Blakeney",22,"CHI",32,31.8,5.25,11.75,1.65,4.75,3.55,7,0.513,2.85,3.85,0.9,3.25,4.15,1.3,0.7,0.15,1.45,1.55,14.9,"Louisiana State University",0.446808510638298,0.347368421052632,0.507142857142857,0.74025974025974,"2017-2018"
"Bam Adebayo",21,"MIA",38,30.1,4.5,7.5,0,0,4.5,7.4,0.599,4.1,6.2,3.1,4.9,8,0.8,0.7,1.5,1.7,2.6,13,"University of Kentucky",0.6,0,0.608108108108108,0.661290322580645,"2017-2018"
"Ben Simmons",22,"PHI",33,34.9,6.5,11.7,0,0.1,6.5,11.6,0.561,6,9,3.1,8.6,11.8,4.8,2,0.8,3.4,2.8,19.2,"Louisiana State University",0.555555555555556,0,0.560344827586207,0.666666666666667,"2017-2018"
"C.J. Williams",28,"LAC",31,9.6,0.9,2,0,0,0.9,2,0.435,0.6,1.2,0.7,2,2.7,1,0.3,0,0.9,1.5,2.4,"North Carolina State University",0.45,0,0.45,0.5,"2017-2018"
"Caleb Swanigan",21,"POR",34.5,29.1,5.05,10.15,0.85,2.25,4.25,7.9,0.535,3.35,4.4,2.15,8.2,10.4,2.4,0.4,0.5,3,2.5,14.35,"Purdue University",0.497536945812808,0.377777777777778,0.537974683544304,0.761363636363636,"2017-2018"
"Charles Cooke",24,"NOP",30.5,31.9,5.15,11.4,1.75,4.45,3.4,7,0.528,3.65,5.2,1.15,4.3,5.45,2.3,1.2,1.1,1.95,1.9,15.7,"University of Dayton",0.451754385964912,0.393258426966292,0.485714285714286,0.701923076923077,"2017-2018"
"Charles Cooke",24,"NOP",30.5,31.9,5.15,11.4,1.75,4.45,3.4,7,0.528,3.65,5.2,1.15,4.3,5.45,2.3,1.2,1.1,1.95,1.9,15.7,"University of Dayton",0.451754385964912,0.393258426966292,0.485714285714286,0.701923076923077,"2017-2018"
