"Player","Season","Pick","Team","College","Rk","Class","Pos","School","Conf","G","MP","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"A.J. Bramlett",1999,39,"CLE","University of Arizona",292,"SR","C","Arizona","Pac-10",29,909,160,299,160,298,0,1,91,158,NA,NA,273,36,24,37,57,94,411
"A.J. Guyton",2000,32,"CHI","Indiana University",48,"SR","G","Indiana","Big Ten",29,995,204,444,132,272,72,172,90,114,NA,NA,90,68,29,13,69,27,570
"A.J. Price",2009,52,"IND","University of Connecticut",170,"SR","G","Connecticut","Big East",35,NA,170,417,88,213,82,204,93,129,NA,NA,122,164,24,0,94,NA,515
"Aaron Brooks",2007,26,"HOU","University of Oregon",34,"SR","G","Oregon","Pac-10",35,1289,213,463,133,265,80,198,115,136,NA,NA,149,149,48,6,NA,NA,621
"Aaron Gordon",2014,4,"ORL","University of Arizona",316,"FR","F","Arizona","Pac-12",38,1187,189,382,173,337,16,45,76,180,102,201,303,75,34,39,55,90,470
"Aaron Gray",2007,49,"CHI","University of Pittsburgh",174,"SR","C","Pittsburgh","Big East",36,1016,204,361,204,361,0,0,91,166,NA,NA,341,61,15,62,NA,NA,499
"Aaron McKie",1994,17,"POR","Temple University",70,"SR","G","Temple","A-10",31,1214,193,481,134,322,59,159,137,168,NA,NA,224,98,58,10,52,54,582
"Aaron White",2015,49,"WAS","University of Iowa",79,"SR","F","Iowa","Big Ten",34,1070,171,328,150,269,21,59,195,238,71,177,248,48,45,16,41,53,558
"Acie Law",2007,11,"ATL","Texas A&M University",38,"SR","G","Texas A&M","Big 12",34,1153,216,432,178,349,38,83,144,185,NA,NA,113,169,39,1,NA,NA,614
"Adam Haluska",2007,43,"NOK","University of Iowa",27,"SR","G","Iowa","Big Ten",31,NA,190,466,100,218,90,248,167,192,NA,NA,144,80,42,8,NA,NA,637
"Adam Morrison",2006,3,"CHA","Gonzaga University",2,"JR","F","Gonzaga","WCC",33,1205,306,617,232,444,74,173,240,311,NA,NA,182,56,35,11,NA,NA,926
"Adonal Foyle",1997,8,"GSW","Colgate University",7,"JR","C","Colgate","Patriot",28,1055,277,490,276,483,1,7,127,261,NA,NA,368,54,19,180,117,60,682
"Adreian Payne",2014,15,"ATL","Michigan State University",216,"SR","C","Michigan State","Big Ten",31,870,178,354,134,250,44,104,109,138,48,177,225,41,15,28,63,80,509
"Ahmad Nivins",2009,56,"DAL","Saint Joseph's University",54,"SR","F","Saint Joseph's","A-10",32,NA,205,335,205,334,0,1,203,258,NA,NA,378,32,26,56,87,NA,613
"Al Horford",2007,3,"ATL","University of Florida",171,"JR","F","Florida","SEC",38,1057,186,306,186,304,0,2,130,202,NA,NA,360,82,28,70,NA,NA,502
"Al Thornton",2007,14,"LAC","Florida State University",14,"SR","G","Florida State","ACC",35,1092,244,460,208,379,36,81,166,210,NA,NA,251,24,53,40,NA,NA,690
"Al-Farouq Aminu",2010,8,"LAC","Wake Forest University",201,"SO","F","Wake Forest","ACC",31,970,167,374,149,308,18,66,139,199,133,199,332,41,44,44,99,91,491
"Alan Henderson",1995,16,"ATL","Indiana University",8,"SR","F","Indiana","Big Ten",31,1093,284,476,282,466,2,10,159,251,NA,NA,302,54,42,64,89,97,729
"Alando Tucker",2007,29,"PHO","University of Wisconsin",9,"SR","G","Wisconsin","Big Ten",36,1181,256,545,216,422,40,123,164,249,NA,NA,196,73,33,10,NA,NA,716
"Albert Burditt",1994,53,"HOU","University of Texas at Austin",108,"SR","F","Texas","SWC",34,NA,213,361,213,360,0,1,108,176,NA,NA,294,39,73,70,NA,NA,534
"Alec Brown",2014,50,"PHO","University of Wisconsin-Green Bay",341,"SR","F-C","Green Bay","Horizon",30,909,165,347,123,247,42,100,88,121,63,108,171,30,15,94,65,67,460
"Alec Burks",2011,12,"UTA","University of Colorado",6,"SO","G","Colorado","Big 12",38,1193,251,535,223,439,28,96,249,302,91,156,247,112,41,12,99,89,779
"Alex Acker",2005,60,"DET","Pepperdine University",105,"JR","G","Pepperdine","WCC",31,1152,183,407,124,270,59,137,91,106,NA,NA,201,114,40,15,NA,NA,516
"Alex Len",2013,5,"PHO","University of Maryland",298,"SO","C","Maryland","ACC",38,1004,173,324,172,316,1,8,105,153,109,189,298,37,8,78,60,101,452
"Alex Oriakhi",2013,57,"PHO","University of Missouri",531,"SR","F","Missouri","SEC",34,878,138,216,138,216,0,0,106,142,106,180,286,12,20,54,47,79,382
