"Player","Age","College","Tm"
"Dennis Smith Jr.",21,"North Carolina State University","DAL"
"Maxi Kleber",26,"","DAL"
"Gian Clavell",25,"Colorado State University","DAL"
"Johnathan Motley",23,"Baylor University","DAL"
"T.J. Leaf",21,"University of California, Los Angeles","IND"
"Ike Anigbogu",20,"University of California, Los Angeles","IND"
"Edmond Sumner",23,"Xavier University","IND"
"Jonathan Isaac",21,"Florida State University","ORL"
"Wesley Iwundu",24,"Kansas State University","ORL"
"Khem Birch",26,"University of Nevada, Las Vegas","ORL"
"Jamel Artis",25,"University of Pittsburgh","ORL"
"Malik Monk",20,"University of Kentucky","CHO"
"Dwayne Bacon",23,"Florida State University","CHO"
"Marcus Paige",25,"University of North Carolina","CHO"
"Mangok Mathiang",26,"University of Louisville","CHO"
"Justin Patton",21,"Creighton University","MIN"
"Jayson Tatum",20,"Duke University","BOS"
"Abdel Nader",25,"Iowa State University","BOS"
"Semi Ojeleye",24,"Southern Methodist University","BOS"
"Guerschon Yabusele",23,"","BOS"
"Daniel Theis",26,"","BOS"
"Jabari Bird",24,"University of California","BOS"
"Kadeem Allen",25,"University of Arizona","BOS"
"Zach Collins",21,"Gonzaga University","POR"
"Caleb Swanigan",21,"Purdue University","POR"
"Milos Teodosic",31,"","LAC"
"Jawun Evans",NA,"Oklahoma State University","LAC"
"Sindarius Thornwell",24,"University of South Carolina","LAC"
"C.J. Williams",28,"North Carolina State University","LAC"
"Jamil Wilson",28,"Marquette University","LAC"
"Josh Jackson",21,"University of Kansas","PHO"
"Davon Reed",23,"University of Miami","PHO"
"Mike James",28,"Lamar University","PHO"
"Alec Peters",23,"Valparaiso University","PHO"
"Donovan Mitchell",22,"University of Louisville","UTA"
"Tony Bradley",20,"University of North Carolina","UTA"
"Royce O'Neal",25,"Baylor University","UTA"
"Eric Griffin",28,"Campbell University","UTA"
"Dakari Johnson",23,"University of Kentucky","OKC"
"Terrance Ferguson",20,"","OKC"
"PJ Dozier",22,"University of South Carolina","OKC"
"Daniel Hamilton",23,"University of Connecticut","OKC"
"Ben Simmons",22,"Louisiana State University","PHI"
"Furkan Korkmaz",21,"","PHI"
"Markelle Fultz",20,"University of Washington","PHI"
"Jacob Pullen",29,"Kansas State University","PHI"
"Frank Jackson",20,"Duke University","NOP"
"Charles Cooke",24,"University of Dayton","NOP"
"Charles Cooke",24,"University of Dayton","NOP"
"Tyler Lydon",22,"Syracuse University","DEN"
"Monte Morris",23,"Iowa State University","DEN"
"Torrey Craig",28,"University of South Carolina Upstate","DEN"
"Jordan Bell",23,"University of Oregon","GSW"
"Chris Boucher",25,"University of Oregon","GSW"
"Luke Kennard",22,"Duke University","DET"
"Ante Zizic",21,"","CLE"
"Cedi Osman",23,"","CLE"
"London Perrantes",24,"University of Virginia","CLE"
"John Holland",30,"Boston University","CLE"
"Dillon Brooks",22,"University of Oregon","MEM"
"Ivan Rabb",21,"University of California","MEM"
"Vince Hunter",24,"University of Texas at El Paso","MEM"
"Devin Robinson",23,"University of Florida","WAS"
"Michael Young",24,"University of Pittsburgh","WAS"
"Jarrett Allen",20,"University of Texas at Austin","BRK"
"Jacob Wiley",24,"Eastern Washington University","BRK"
"Yakuba Ouattara",26,"","BRK"
"Lauri Markkanen",21,"University of Arizona","CHI"
"Ryan Arcidiacono",24,"Villanova University","CHI"
"Antonio Blakeney",22,"Louisiana State University","CHI"
"Harry Giles",20,"Duke University","SAC"
"Justin Jackson",23,"University of North Carolina","SAC"
"De'Aaron Fox",21,"University of Kentucky","SAC"
"Bogdan Bogdanovic",26,"","SAC"
"Frank Mason III",24,"University of Kansas","SAC"
"D.J. Wilson",22,"University of Michigan","MIL"
"Sterling Brown",23,"Southern Methodist University","MIL"
"Zhou Qi",22,"","HOU"
"Lonzo Ball",21,"University of California, Los Angeles","LAL"
"Kyle Kuzma",23,"University of Utah","LAL"
"Josh Hart",23,"Villanova University","LAL"
"Thomas Bryant",21,"Indiana University","LAL"
"Frank Ntilikina",20,"","NYK"
"Damyean Dotson",24,"University of Houston","NYK"
"Luke Kornet",23,"Vanderbilt University","NYK"
"Isaiah Hicks",24,"University of North Carolina","NYK"
"OG Anunoby",21,"Indiana University","TOR"
"Alfonzo McKinnie",26,"University of Wisconsin-Green Bay","TOR"
"Malcolm Miller",25,"College of the Holy Cross","TOR"
"Derrick White",24,"University of Colorado","SAS"
"Brandon Paul",27,"University of Illinois at Urbana-Champaign","SAS"
"Matt Costello",25,"Michigan State University","SAS"
"John Collins",21,"Wake Forest University","ATL"
"Tyler Dorsey",22,"University of Oregon","ATL"
"Bam Adebayo",21,"University of Kentucky","MIA"
"Matt Williams",25,"University of Central Florida","MIA"
"Derrick Walton",23,"University of Michigan","MIA"
