"Pick","Team","Player","College"
"1","PHI","Markelle Fultz","University of Washington"
"2","LAL","Lonzo Ball","University of California, Los Angeles"
"3","BOS","Jayson Tatum","Duke University"
"4","PHO","Josh Jackson","University of Kansas"
"5","SAC","De'Aaron Fox","University of Kentucky"
"6","ORL","Jonathan Isaac","Florida State University"
"7","MIN","Lauri Markkanen","University of Arizona"
"8","NYK","Frank Ntilikina",""
"9","DAL","Dennis Smith","North Carolina State University"
"10","SAC","Zach Collins","Gonzaga University"
"11","CHO","Malik Monk","University of Kentucky"
"12","DET","Luke Kennard","Duke University"
"13","DEN","Donovan Mitchell","University of Louisville"
"14","MIA","Bam Adebayo","University of Kentucky"
"15","POR","Justin Jackson","University of North Carolina"
"16","CHI","Justin Patton","Creighton University"
"17","MIL","D.J. Wilson","University of Michigan"
"18","IND","T.J. Leaf","University of California, Los Angeles"
"19","ATL","John Collins","Wake Forest University"
"20","POR","Harry Giles","Duke University"
"21","OKC","Terrance Ferguson",""
"22","BRK","Jarrett Allen","University of Texas at Austin"
"23","TOR","OG Anunoby","Indiana University"
"24","UTA","Tyler Lydon","Syracuse University"
"25","ORL","Anzejs Pasecniks",""
"26","POR","Caleb Swanigan","Purdue University"
"27","BRK","Kyle Kuzma","University of Utah"
"28","LAL","Tony Bradley","University of North Carolina"
"29","SAS","Derrick White","University of Colorado"
"30","UTA","Josh Hart","Villanova University"
"31","CHO","Frank Jackson","Duke University"
"32","PHO","Davon Reed","University of Miami"
"33","ORL","Wesley Iwundu","Kansas State University"
"34","SAC","Frank Mason","University of Kansas"
"35","ORL","Ivan Rabb","University of California"
"36","PHI","Jonah Bolden",""
"37","BOS","Semi Ojeleye","Southern Methodist University"
"38","CHI","Jordan Bell","University of Oregon"
"39","PHI","Jawun Evans","Oklahoma State University"
"40","NOP","Dwayne Bacon","Florida State University"
"41","ATL","Tyler Dorsey","University of Oregon"
"42","UTA","Thomas Bryant","Indiana University"
"43","HOU","Isaiah Hartenstein",""
"44","NYK","Damyean Dotson","University of Oregon"
"45","HOU","Dillon Brooks","University of Oregon"
"46","PHI","Sterling Brown","Southern Methodist University"
"47","IND","Ike Anigbogu","University of California, Los Angeles"
"48","MIL","Sindarius Thornwell","University of South Carolina"
"49","DEN","Vlatko Cancar",""
"50","PHI","Mathias Lessort",""
"51","DEN","Monte Morris","Iowa State University"
"52","NOP","Edmond Sumner","Xavier University"
"53","BOS","Kadeem Allen","University of Arizona"
"54","PHO","Alec Peters","Valparaiso University"
"55","UTA","Nigel Williams-Goss","Gonzaga University"
"56","BOS","Jabari Bird","University of California"
"57","BRK","Aleksandar Vezenkov",""
"58","NYK","Ognjen Jaramaz",""
"59","SAS","Jaron Blossomgame","Clemson University"
"60","ATL","Alpha Kaba",""
