"Pick","Team","Player","College","Year"
"1","SAS","Tim Duncan","Wake Forest University","1997"
"2","PHI","Keith Van Horn","University of Utah","1997"
"3","BOS","Chauncey Billups","University of Colorado","1997"
"4","VAN","Antonio Daniels","Bowling Green State University","1997"
"5","DEN","Tony Battie","Texas Tech University","1997"
"6","BOS","Ron Mercer","University of Kentucky","1997"
"7","NJN","Tim Thomas","Villanova University","1997"
"8","GSW","Adonal Foyle","Colgate University","1997"
"9","TOR","Tracy McGrady","","1997"
"10","MIL","Danny Fortson","University of Cincinnati","1997"
"11","SAC","Tariq Abdul-Wahad","San Jose State University","1997"
"12","IND","Austin Croshere","Providence College","1997"
"13","CLE","Derek Anderson","University of Kentucky","1997"
"14","LAC","Maurice Taylor","University of Michigan","1997"
"15","DAL","Kelvin Cato","Iowa State University","1997"
"16","CLE","Brevin Knight","Stanford University","1997"
"17","ORL","Johnny Taylor","University of Tennessee at Chattanooga","1997"
"18","POR","Chris Anstey","","1997"
"19","DET","Scot Pollard","University of Kansas","1997"
"20","MIN","Paul Grant","University of Wisconsin","1997"
"21","NJN","Anthony Parker","Bradley University","1997"
"22","ATL","Ed Gray","University of California","1997"
"23","SEA","Bobby Jackson","University of Minnesota","1997"
"24","HOU","Rodrick Rhodes","University of Southern California","1997"
"25","NYK","John Thomas","University of Minnesota","1997"
"26","MIA","Charles Smith","University of New Mexico","1997"
"27","UTA","Jacque Vaughn","University of Kansas","1997"
"28","CHI","Keith Booth","University of Maryland","1997"
"29","HOU","Serge Zwikker","University of North Carolina","1997"
"30","MIA","Mark Sanford","University of Washington","1997"
"31","DET","Charles O'Bannon","University of California, Los Angeles","1997"
"32","DEN","James Cotton","California State University, Long Beach","1997"
"33","PHI","Marko Milic","","1997"
"34","DAL","Bubba Wells","Austin Peay State University","1997"
"35","PHI","Kebu Stewart","California State University, Bakersfield","1997"
"36","PHI","James Collins","Florida State University","1997"
"37","GSW","Marc Jackson","Temple University","1997"
"38","MIL","Jerald Honeycutt","Tulane University","1997"
"39","SAC","Anthony Johnson","College of Charleston","1997"
"40","SEA","Eddie Elisma","Georgia Institute of Technology","1997"
"41","DEN","Jason Lawson","Villanova University","1997"
"42","PHO","Stephen Jackson","Butler County Community College","1997"
"43","MIN","Gordon Malone","West Virginia University","1997"
"44","CLE","Cedric Henderson","University of Memphis","1997"
"45","WAS","God Shammgod","Providence College","1997"
"46","ORL","Eric Washington","University of Alabama","1997"
"47","POR","Alvin Williams","Villanova University","1997"
"48","WAS","Predrag Drobnjak","","1997"
"49","ATL","Alain Digbeu","","1997"
"50","ATL","Chris Crawford","Marquette University","1997"
"51","LAL","DeJuan Wheat","University of Louisville","1997"
"52","VAN","C.J. Bruton","Indian Hills Community College","1997"
"53","LAL","Paul Rogers","Gonzaga University","1997"
"54","SEA","Mark Blount","University of Pittsburgh","1997"
"55","BOS","Ben Pepper","","1997"
"56","UTA","Nate Erdmann","University of Oklahoma","1997"
"57","CHI","Roberto Duenas","","1997"
"1","LAC","Michael Olowokandi","University of the Pacific","1998"
"2","VAN","Mike Bibby","University of Arizona","1998"
"3","DEN","Raef LaFrentz","University of Kansas","1998"
"4","TOR","Antawn Jamison","University of North Carolina","1998"
"5","GSW","Vince Carter","University of North Carolina","1998"
"6","DAL","Robert Traylor","University of Michigan","1998"
"7","SAC","Jason Williams","University of Florida","1998"
"8","PHI","Larry Hughes","Saint Louis University","1998"
"9","MIL","Dirk Nowitzki","","1998"
"10","BOS","Paul Pierce","University of Kansas","1998"
"11","DET","Bonzi Wells","Ball State University","1998"
"12","ORL","Michael Doleac","University of Utah","1998"
"13","ORL","Keon Clark","University of Nevada, Las Vegas","1998"
"14","HOU","Michael Dickerson","University of Arizona","1998"
"15","ORL","Matt Harpring","Georgia Institute of Technology","1998"
"16","HOU","Bryce Drew","Valparaiso University","1998"
"17","MIN","Rasho Nesterovic","","1998"
"18","HOU","Mirsad Turkcan","","1998"
"19","MIL","Pat Garrity","University of Notre Dame","1998"
"20","ATL","Roshown McLeod","Duke University","1998"
