"Pick","Team","Player","College","Season"
"1","LAL","Magic Johnson","Michigan State University",1979
"2","CHI","Dave Greenwood","University of California, Los Angeles",1979
"3","NYK","Bill Cartwright","University of San Francisco",1979
"4","DET","Greg Kelser","Michigan State University",1979
"5","MIL","Sidney Moncrief","University of Arkansas",1979
"6","SEA","James Bailey","Rutgers University",1979
"7","SEA","Vinnie Johnson","Baylor University",1979
"8","NJN","Calvin Natt","University of Louisiana at Monroe",1979
"9","NYK","Larry Demic","University of Arizona",1979
"10","DET","Roy Hamilton","University of California, Los Angeles",1979
"11","NJN","Cliff Robinson","University of Southern California",1979
"12","POR","Jim Paxson","University of Dayton",1979
"13","IND","Dudley Bradley","University of North Carolina",1979
"14","LAL","Brad Holland","University of California, Los Angeles",1979
"15","DET","Phil Hubbard","University of Michigan",1979
"16","PHI","Jim Spanarkel","Duke University",1979
"17","HOU","Lee Johnson","East Texas State University",1979
"18","KCK","Reggie King","University of Alabama",1979
"19","SAS","Wiley Peck","Mississippi State University",1979
"20","UTA","Larry Knight","Loyola University of Chicago",1979
"21","NYK","Sly Williams","University of Rhode Island",1979
"22","PHO","Kyle Macy","University of Kentucky",1979
"23","UTA","Tico Brown","Georgia Institute of Technology",1979
"24","PHO","Johnny High","University of Nevada, Reno",1979
"25","LAL","Ollie Mack","East Carolina University",1979
"26","CLE","Bruce Flowers","University of Notre Dame",1979
"27","NYK","Reggie Carter","St. John's University",1979
"28","GSW","Danny Salisbury","University of Texas-Pan American",1979
"29","DET","Tony Price","University of Pennsylvania",1979
"30","DEN","Gary Garland","DePaul University",1979
"31","MIL","Edgar Jones","University of Nevada, Reno",1979
"32","IND","Tony Zeno","Arizona State University",1979
"33","CHI","Lawrence Butler","Idaho State University",1979
"34","NYK","Kim Goetz","San Diego State University",1979
"35","ATL","James Bradley","University of Memphis",1979
"36","PHI","Clint Richardson","Seattle University",1979
"37","PHI","Bernard Toone","Marquette University",1979
"38","ATL","Larry Wilson","Nicholls State University",1979
"39","LAL","Victor King","Louisiana Tech University",1979
"40","POR","Andrew Fields","Cheyney University of Pennsylvania",1979
"41","LAL","Mark Young","Fairfield University",1979
"42","HOU","Paul Mokeski","University of Kansas",1979
"43","SEA","Johnny Moore","University of Texas at Austin",1979
"44","WSB","Joe DeSantis","Fairfield University",1979
"45","UTA","Arvid Kramer","Augustana College (SD)",1979
"46","WSB","Andrew Parker","Iowa State University",1979
"47","CHI","Calvin Garrett","Oral Roberts University",1979
"48","DET","Terry Duerod","University of Detroit Mercy",1979
"49","CHI","Cedrick Hordges","University of South Carolina",1979
"50","NYK","Geoff Huston","Texas Tech University",1979
"51","NJN","John Gerdy","Davidson College",1979
"52","MIL","Larry Gibson","University of Maryland",1979
"53","BOS","Wayne Kreklow","Drake University",1979
"54","GSW","Cheese Johnson","Wichita State University",1979
"55","SDC","Tom Channel","Boston University",1979
"56","POR","Mickey Fox","Saint Mary's University",1979
"57","ATL","Don March","Franklin & Marshall College",1979
"58","PHI","Earl Cureton","University of Detroit Mercy",1979
"59","HOU","Ricardo Brown","Pepperdine University",1979
"60","LAL","Walter Daniels","University of Georgia",1979
"61","BOS","Ernesto Malcolm","Briar Cliff University",1979
"62","KCK","Terry Crosby","University of Tennessee",1979
"63","SAS","Sylvester Norris","Jackson State University",1979
"64","PHO","Al Green","Louisiana State University",1979
"65","CLE","Bill Laimbeer","University of Notre Dame",1979
"66","WSB","Charles Floyd","High Point University",1979
"67","UTA","Greg Deane","University of Utah",1979
"68","BOS","Nick Galis","Seton Hall University",1979
"69","MIL","Eugene Robinson","University of Louisiana at Monroe",1979
"70","CLE","Rick Swing","The Citadel",1979
"71","NYK","Larry Rogers","Southeast Missouri State University",1979
"72","CHI","George Maynor","East Carolina University",1979
"73","SEA","James Donaldson","Washington State University",1979
"74","IND","Don Newman","University of Idaho",1979
"75","GSW","Ron Ripley","University of Wisconsin-Green Bay",1979
"76","HOU","Sammy Drummer","Georgia Institute of Technology",1979
"77","SDC","Lionel Garrett","Southern University and A&M College",1979
"78","POR","Daryll Robinson","Appalachian State University",1979
"79","LAL","Ray White","Mississippi State University",1979
"80","HOU","Lionel Green","Louisiana State University",1979
"81","LAL","Ricky Reed","Temple University",1979
"82","GSW","Jerry Sichting","Purdue University",1979
"83","PHI","Mike Niles","California State University, Fullerton",1979
"84","SAS","Al Daniel","Furman University",1979
"85","KCK","John McCullough","University of Oklahoma",1979
"86","PHO","Malcolm Cesare","University of Florida",1979
"87","SEA","Richie Allen","California State University, Dominguez Hills",1979
"88","WSB","Lamont Reid","Oral Roberts University",1979
"89","UTA","Wolfe Perry","Stanford University",1979
"90","BOS","Jimmy Allen","University of New Haven",1979
"91","CLE","Matt Simpkins","Georgia Southern University",1979
"92","DET","Flintie Ray Williams","University of Nevada, Las Vegas",1979
"93","CHI","Larry Washington","Drury University",1979
"94","NYK","Johnny Green","University of California, Riverside",1979
"95","NJN","Jim Abromaitis","University of Connecticut",1979
"96","GSW","George Lett","Centenary College of Louisiana",1979
"97","MIL","Jim Tillman","Eastern Kentucky University",1979
"98","IND","Billy Reid","University of San Francisco",1979
"99","SDC","Greg Joyner","Middle Tennessee State University",1979
"100","POR","Matt White","University of Pennsylvania",1979
"101","ATL","Tiny Pinder","North Carolina State University",1979
"102","DEN","Larry Williams","University of Louisville",1979
"103","PHI","Carl McPipe","University of Nebraska",1979
"104","HOU","Allen Leavell","Oklahoma City University",1979
"105","KCK","Curtis Watkins","DePaul University",1979
"106","SAS","Steve Schall","University of Arkansas",1979
"107","PHO","Mark Eaton","University of California, Los Angeles",1979
"108","WSB","Marshall Ashford","Virginia Polytechnic Institute and State University",1979
"109","UTA","Ernie Cobb","Boston University",1979
"110","BOS","Marvin Delph","University of Arkansas",1979
"111","DET","Truman Claytor","University of Kentucky",1979
"112","CLE","Joe Manning","University of North Texas",1979
"113","NYK","Phil Abney","University of New Mexico",1979
"114","CHI","Steve Smith","University of Southern California",1979
"115","NJN","Tony Smith","University of Nevada, Las Vegas",1979
"116","MIL","Derrick Mayes","Illinois State University",1979
"117","IND","Greg Guye","Stetson University",1979
"118","GSW","Jim Mitchem","DePaul University",1979
"119","SDC","Bob Bender","Duke University",1979
"120","POR","Ray Ellis","Pepperdine University",1979
"121","ATL","Dwight Williams","Gardner-Webb University",1979
"122","DEN","Odell Ball","Marquette University",1979
"123","PHI","Dan Hartshorne","University of Oregon",1979
"124","HOU","Collie Davis","Southern University and A&M College",1979
"125","SAS","Terry Knight","University of Pittsburgh",1979
"126","KCK","Bob Roma","Princeton University",1979
"127","PHO","Dale Shackelford","Syracuse University",1979
"128","WSB","Garcia Hopkins","Morgan State University",1979
"129","UTA","Paul Poe","Louisiana College",1979
"130","BOS","Steve Castellan","University of Virginia",1979
"131","CLE","Steve Skaggs","Ohio University",1979
"132","DET","Ken Jones","Saint Mary's College of California",1979
"133","CHI","Mike Eversley","Chicago State University",1979
"134","NYK","Marc Coleman","Seton Hall University",1979
"135","NJN","Jim Strickland","University of South Carolina",1979
"136","IND","Dirk Ewing","Stetson University",1979
"137","GSW","Ren Watson","Virginia Commonwealth University",1979
"138","MIL","Stan Ray","California State University, Fullerton",1979
"139","SDC","Jene Grey","LeMoyne College",1979
"140","POR","Jeff Tropf","Central Michigan University",1979
"141","ATL","Tim Waterman","St. Bonaventure University",1979
"142","PHI","Bobby Willis","University of Pennsylvania",1979
"143","HOU","Rich Valavicius","Auburn University",1979
"144","DEN","John Johnson","Creighton University",1979
"145","KCK","Nick Daniels","Xavier University",1979
"146","SAS","Tyrone Branyan","University of Texas at Austin",1979
"147","PHO","Ollie Matson","Pepperdine University",1979
"148","UTA","Keith McDonald","Utah State University",1979
"149","BOS","Glenn Sudhop","North Carolina State University",1979
"150","DET","Rodney Lee","University of Memphis",1979
"151","CLE","Mark Haymore","University of Massachusetts Amherst",1979
"152","NYK","Billy Tucker","Tennessee State University",1979
"153","CHI","Tony Warren","North Carolina State University",1979
"154","NJN","Henry Hollingsworth","Hofstra University",1979
"155","GSW","Mario Butler","Briar Cliff University",1979
"156","MIL","Larry Spicer","University of Alabama at Birmingham",1979
"157","IND","Brian Magid","George Washington University",1979
"158","SDC","Renaldo Lawrence","Appalachian State University",1979
"159","POR","Willie Pounds","Chaminade University of Honolulu",1979
"160","ATL","John Goedeke","University of Maryland, Baltimore County",1979
"161","HOU","Delbert Watson","East Tennessee State University",1979
"162","DEN","Matt Teahan","University of Denver",1979
"163","PHI","Rick Raivio","University of Portland",1979
"164","KCK","Tony Vann","University of Alabama at Huntsville",1979
"165","PHO","Charles Jones","Albany State University",1979
"166","WSB","Jo Jo Walters","Manhattan College",1979
"167","UTA","Milt Huggins","Southern Illinois University",1979
"168","BOS","Kevin Sinnett","United States Naval Academy",1979
"169","CLE","Tim Joyce","Ohio University",1979
"170","DET","Val Bracey","Central Michigan University",1979
"171","CHI","James Jackson","University of Minnesota",1979
"172","NYK","Brett Wyatt","New Jersey City University",1979
"173","NJN","Ricky Free","Columbia University",1979
"174","MIL","Roger Lapham","University of Maine",1979
"175","GSW","Gene Ransom","University of California",1979
"176","SDC","Mike Dodd","San Diego State University",1979
"177","POR","Stan Eckwood","Harding University",1979
"178","ATL","Cedric Oliver","Hamilton College",1979
"179","DEN","Emmett Lewis","University of Colorado",1979
"180","PHI","Coby Leavitt","University of Utah",1979
"181","KCK","Gary Wilson","Southern Illinois University",1979
"182","SAS","Eddie McLeod","University of Nevada, Las Vegas",1979
"183","PHO","Hosea Champine","Robert Morris University (PA)",1979
"184","WSB","Ray Hooker","Murray State University",1979
"185","UTA","Paul Dawkins","Northern Illinois University",1979
"186","BOS","Alton Byrd","Columbia University",1979
"187","DET","Willie Polk","Grand Canyon University",1979
"188","CLE","Terry Peavy","Point Park University",1979
"189","NYK","Gordon Thomas","St. John's University",1979
"190","CHI","Marvin Thoms","University of California, Los Angeles",1979
"191","NJN","Eric Fleisher","Tulane University",1979
"192","GSW","Kevin Heenan","California State University, Fullerton",1979
"193","MIL","Chris Fahrbach","University of North Dakota",1979
"194","SDC","Greg Hunter","Loyola Marymount University",1979
"195","POR","Kelvin Small","University of Oregon",1979
"196","ATL","Chad Nelson","Drake University",1979
"197","CHI","Cortez Collins","University of Southern Indiana",1979
"198","PHI","Keith McCord","University of Alabama at Birmingham",1979
"199","SAS","Glen Fine","Harvard University",1979
"200","KCK","Russell Saunders","University of New Mexico",1979
"201","PHO","Korky Nelson","Santa Clara University",1979
"202","WSB","Steve Martin","Georgetown University",1979
"1","GSW","Joe Barry Carroll","Purdue University",1980
"2","UTA","Darrell Griffith","University of Louisville",1980
"3","BOS","Kevin McHale","University of Minnesota",1980
"4","CHI","Kelvin Ransey","Ohio State University",1980
"5","DEN","James Ray","Jacksonville University",1980
"6","NJN","Mike O'Koren","University of North Carolina",1980
"7","NJN","Mike Gminski","Duke University",1980
"8","PHI","Andrew Toney","University of Louisiana at Lafayette",1980
"9","SDC","Michael Brooks","La Salle University",1980
"10","POR","Ronnie Lester","University of Iowa",1980
"11","DAL","Kiki Vandeweghe","University of California, Los Angeles",1980
"12","NYK","Mike Woodson","Indiana University",1980
"13","GSW","Rickey Brown","Mississippi State University",1980
"14","WSB","Wes Matthews","University of Wisconsin",1980
"15","SAS","Reggie Johnson","University of Tennessee",1980
"16","KCK","Hawkeye Whitney","North Carolina State University",1980
"17","DET","Larry Drew","University of Missouri",1980
"18","ATL","Don Collins","Washington State University",1980
