"Team","W","L","PTS","PTSA","SRS","Season"
"Boston Celtics",61,21,113.5,105.7,7.37,"1979-1980"
"Philadelphia 76ers",59,23,109.1,104.9,4.04,"1979-1980"
"Washington Bullets",39,43,107,109.5,-2.27,"1979-1980"
"New York Knicks",39,43,114,115.1,-0.96,"1979-1980"
"New Jersey Nets",34,48,108.3,109.5,-0.98,"1979-1980"
"Atlanta Hawks",50,32,104.5,101.6,2.83,"1979-1980"
"Houston Rockets",41,41,110.8,110.6,0.27,"1979-1980"
"San Antonio Spurs",41,41,119.4,119.7,-0.24,"1979-1980"
"Indiana Pacers",37,45,111.2,111.9,-0.54,"1979-1980"
"Cleveland Cavaliers",37,45,114.1,113.8,0.43,"1979-1980"
"Detroit Pistons",16,66,108.9,117.2,-7.57,"1979-1980"
"Milwaukee Bucks",49,33,110.1,106.1,3.57,"1979-1980"
"Kansas City Kings",47,35,108,104.9,2.82,"1979-1980"
"Denver Nuggets",30,52,108.3,112.7,-4.22,"1979-1980"
"Chicago Bulls",30,52,107.5,110.2,-2.63,"1979-1980"
"Utah Jazz",24,58,102.4,108.4,-5.71,"1979-1980"
"Los Angeles Lakers",60,22,115.1,109.2,5.4,"1979-1980"
"Seattle SuperSonics",56,26,108.5,103.8,4.24,"1979-1980"
"Phoenix Suns",55,27,111.1,107.5,3.25,"1979-1980"
"Portland Trail Blazers",38,44,102.5,103.3,-0.87,"1979-1980"
"San Diego Clippers",35,47,107.6,111.7,-3.97,"1979-1980"
"Golden State Warriors",24,58,103.6,108,-4.2,"1979-1980"
"Boston Celtics",62,20,109.9,104,6.05,"1980-1981"
"Philadelphia 76ers",62,20,111.7,103.8,7.76,"1980-1981"
"New York Knicks",50,32,107.9,106.3,2,"1980-1981"
"Washington Bullets",39,43,105.6,105.6,0.42,"1980-1981"
"New Jersey Nets",24,58,106.9,113,-5.15,"1980-1981"
"Milwaukee Bucks",60,22,113.1,105.9,7.14,"1980-1981"
"Chicago Bulls",45,37,109,107,2.34,"1980-1981"
"Indiana Pacers",44,38,107.6,106.2,1.72,"1980-1981"
"Atlanta Hawks",31,51,104.9,108,-2.37,"1980-1981"
"Cleveland Cavaliers",28,54,105.7,110.6,-4.15,"1980-1981"
"Detroit Pistons",21,61,99.7,106,-5.58,"1980-1981"
"San Antonio Spurs",52,30,112.3,109.4,2.18,"1980-1981"
"Kansas City Kings",40,42,106.9,106.9,-0.49,"1980-1981"
"Houston Rockets",40,42,108.3,107.9,-0.2,"1980-1981"
"Denver Nuggets",37,45,121.8,122.3,-0.95,"1980-1981"
"Utah Jazz",28,54,101.2,107.1,-5.99,"1980-1981"
"Dallas Mavericks",15,67,101.5,109.9,-8.33,"1980-1981"
"Phoenix Suns",57,25,110,104.5,4.83,"1980-1981"
"Los Angeles Lakers",54,28,111.2,107.3,3.27,"1980-1981"
"Portland Trail Blazers",45,37,110.7,109.8,0.52,"1980-1981"
"Golden State Warriors",39,43,109.8,111,-1.41,"1980-1981"
"San Diego Clippers",36,46,106.5,108.1,-1.78,"1980-1981"
"Seattle SuperSonics",34,48,104,105.7,-1.84,"1980-1981"
"Boston Celtics",63,19,112,105.6,6.35,"1981-1982"
"Philadelphia 76ers",58,24,111.2,105.5,5.74,"1981-1982"
"New Jersey Nets",44,38,106.7,106,0.87,"1981-1982"
"Washington Bullets",43,39,103.5,102.6,1.06,"1981-1982"
"New York Knicks",33,49,106.2,108.9,-2.15,"1981-1982"
"Milwaukee Bucks",55,27,108.4,102.9,5.38,"1981-1982"
"Atlanta Hawks",42,40,101,100.5,0.81,"1981-1982"
"Detroit Pistons",39,43,111.1,112,-0.63,"1981-1982"
"Indiana Pacers",35,47,102.2,104,-1.49,"1981-1982"
"Chicago Bulls",34,48,106.6,108.6,-1.57,"1981-1982"
"Cleveland Cavaliers",15,67,103.2,111.7,-7.77,"1981-1982"
"San Antonio Spurs",48,34,113.1,110.8,1.79,"1981-1982"
"Denver Nuggets",46,36,126.5,126,0.13,"1981-1982"
"Houston Rockets",46,36,105.9,105.9,-0.39,"1981-1982"
"Kansas City Kings",30,52,107.1,110.2,-3.25,"1981-1982"
"Dallas Mavericks",28,54,104.6,109,-4.48,"1981-1982"
"Utah Jazz",25,57,110.9,116.6,-5.63,"1981-1982"
"Los Angeles Lakers",57,25,114.6,109.8,4.37,"1981-1982"
"Seattle SuperSonics",52,30,107.3,103.1,3.69,"1981-1982"
"Phoenix Suns",46,36,106.2,102.7,3.05,"1981-1982"
"Golden State Warriors",45,37,110.9,109.8,0.8,"1981-1982"
"Portland Trail Blazers",42,40,109.8,109.2,0.39,"1981-1982"
"San Diego Clippers",17,65,108.5,115.9,-7.05,"1981-1982"
"Philadelphia 76ers",65,17,112.1,104.4,7.53,"1982-1983"
"Boston Celtics",56,26,112.1,106.7,5.34,"1982-1983"
"New Jersey Nets",49,33,105.8,103,2.77,"1982-1983"
"New York Knicks",44,38,100,97.5,2.58,"1982-1983"
"Washington Bullets",42,40,99.2,99.3,0.2,"1982-1983"
"Milwaukee Bucks",51,31,106.6,102.2,4.32,"1982-1983"
"Atlanta Hawks",43,39,101.6,102.6,-0.72,"1982-1983"
"Detroit Pistons",37,45,112.7,113.1,-0.17,"1982-1983"
"Chicago Bulls",28,54,111,115.9,-4.41,"1982-1983"
"Cleveland Cavaliers",23,59,97.1,104.6,-6.78,"1982-1983"
"Indiana Pacers",20,62,108.7,114.5,-5.36,"1982-1983"
"San Antonio Spurs",53,29,114.3,110.7,3.1,"1982-1983"
