"team_season","TEAM_PTS","TEAM_PTSAG","TeamCode","Season"
"ATL_2017-2018",99.4915408159216,101.277032131367,"ATL","2017-2018"
"BOS_2017-2018",109.404214317496,103.773314910855,"BOS","2017-2018"
"BRK_2017-2018",107.718762349697,111.37254197498,"BRK","2017-2018"
"CHI_2017-2018",101.254315142961,102.808537854349,"CHI","2017-2018"
"CHO_2017-2018",106.766017950699,102.033195423543,"CHO","2017-2018"
"CLE_2017-2018",107.322227458468,105.062763688165,"CLE","2017-2018"
"DAL_2017-2018",100.947062683586,100.737729038941,"DAL","2017-2018"
"DEN_2017-2018",110.463135841409,107.513704646299,"DEN","2017-2018"
"DET_2017-2018",100.937451642976,102.712926098461,"DET","2017-2018"
"GSW_2017-2018",114.440791153979,107.438231994088,"GSW","2017-2018"
"HOU_2017-2018",112.40731502468,107.640717793803,"HOU","2017-2018"
"IND_2017-2018",103.407639494352,101.137497150882,"IND","2017-2018"
"LAC_2017-2018",108.220471960515,100.403414209334,"LAC","2017-2018"
"LAL_2017-2018",104.783527862805,106.472580637539,"LAL","2017-2018"
"MEM_2017-2018",100.126745782361,99.5465013632667,"MEM","2017-2018"
"MIA_2017-2018",100.763122014369,100.482180017434,"MIA","2017-2018"
"MIL_2017-2018",104.995943723506,105.167215628854,"MIL","2017-2018"
"MIN_2017-2018",103.950157217402,102.948911617076,"MIN","2017-2018"
"NOP_2017-2018",105.17649323966,109.288306466363,"NOP","2017-2018"
"NYK_2017-2018",103.257779311798,101.404238541997,"NYK","2017-2018"
"OKC_2017-2018",104.588794331111,106.736616369269,"OKC","2017-2018"
"ORL_2017-2018",101.427688932401,103.016424721105,"ORL","2017-2018"
"PHI_2017-2018",113.111529404655,113.147965461672,"PHI","2017-2018"
"PHO_2017-2018",104.987380922324,106.195699423914,"PHO","2017-2018"
"POR_2017-2018",109.371057891349,104.536304708891,"POR","2017-2018"
"SAC_2017-2018",104.081510387424,104.872960760656,"SAC","2017-2018"
"SAS_2017-2018",104.042082324282,99.5719466062028,"SAS","2017-2018"
"TOR_2017-2018",108.821402095566,103.73333436453,"TOR","2017-2018"
"UTA_2017-2018",103.146779628773,100.681554793905,"UTA","2017-2018"
"WAS_2017-2018",107.540257193772,104.42928631547,"WAS","2017-2018"
