"Player","Pos","Season","Tm","Exp","x","y"
"A.J. Hammons","C","2017-2018","MIA","1",-37.3080023035214,-3.81333069796265
"Aaron Brooks","G","2017-2018","MIN","9",-11.73336497984,20.801227243997
"Aaron Gordon","PF","2017-2018","ORL","3",-16.6802695414323,11.0146656208408
"Abdel Nader","SF","2017-2018","BOS","R",18.2656215948899,0.727101696273445
"Adreian Payne","F-C","2017-2018","ORL","3",25.6571065971559,-5.94608076388417
"Al Horford","C","2017-2018","BOS","10",-15.5818956429949,38.5525550110475
"Al Jefferson","C-F","2017-2018","IND","13",16.2285547883854,-31.1839354537905
"Al-Farouq Aminu","PF","2017-2018","POR","7",14.0685793261735,24.2633789579772
"Alan Williams","F-C","2017-2018","PHO","2",17.8822766038565,-27.5649903692268
"Alec Burks","SG","2017-2018","UTA","6",5.93355779010845,2.78441419758946
"Alec Peters","PF","2017-2018","PHO","R",7.88009490792852,-4.35651216747007
"Alex Abrines","SG","2017-2018","OKC","1",-1.36594616406713,11.6398847845942
"Alex Len","C","2017-2018","PHO","4",0.291613005357571,-19.3512332330534
"Alex Poythress","F","2017-2018","IND","1",10.7530384776355,-0.532621124704424
"Alexis Ajinca","C","2017-2018","NOP","7",17.3471740579155,-36.9921508827394
"Alfonzo McKinnie","SF","2017-2018","TOR","R",6.57428147950398,-17.7031433198571
"Allen Crabbe","SG","2017-2018","BRK","4",-7.84557767538848,11.6079079153908
"Amir Johnson","C","2017-2018","PHI","12",4.0552797138279,-28.5448534816287
"Andre Drummond","C","2017-2018","DET","5",-6.7141650810693,-17.8374734113735
"Andre Iguodala","G-F","2017-2018","GSW","13",28.290766825751,17.4126908054341
"Andre Roberson","SF","2017-2018","OKC","4",20.9536126174777,16.4185586060425
"Andrew Bogut","C","2017-2018","LAL","12",34.0777520024547,-33.190877289812
"Andrew Harrison","PG","2017-2018","MEM","1",-5.98755839068496,5.81190604727359
"Andrew Wiggins","SF","2017-2018","MIN","3",-29.2182519732671,-4.83860739890766
"Ante Zizic","F-C","2017-2018","CLE","R",29.3770253667252,-25.1862045354988
"Anthony Brown","F-G","2017-2018","MIN","2",30.2255795810568,5.10099127349837
"Anthony Davis","PF","2017-2018","NOP","5",-16.0696365646577,-8.75384509786617
"Anthony Tolliver","F-C","2017-2018","DET","9",17.2571444400159,27.2009997368956
"Antonio Blakeney","SG","2017-2018","CHI","R",4.53807807918557,-0.943100235228272
"Aron Baynes","C","2017-2018","BOS","5",18.739752236737,-32.3333731336304
"Arron Afflalo","G","2017-2018","ORL","10",-23.2044689527852,2.95713089467937
"Austin Rivers","SG","2017-2018","LAC","5",-2.77532528431643,8.75737583098467
"Avery Bradley","SG","2017-2018","DET","7",-11.1035048943835,8.27172474713347
"Bam Adebayo","C","2017-2018","MIA","R",31.3035506908043,-22.6186495622948
"Ben McLemore","G","2017-2018","MEM","4",-2.97333678383178,10.4818056688222
"Ben Simmons","PG","2017-2018","PHI","R",11.6426061046157,-21.9237256662928
"Bismack Biyombo","C","2017-2018","ORL","6",22.7120715602525,-39.1847171863718
