"Tm","Season","x","y"
"ATL","2017-2018",260.6433478128,26.7616511008905
"BOS","2017-2018",-39.9757100757541,414.501644042735
"BRK","2017-2018",217.538761968767,404.213210020924
"CHI","2017-2018",830.30059383246,41.6990464719368
"CHO","2017-2018",-484.331904220261,-131.937931693219
"CLE","2017-2018",87.3400459459203,-334.630921556586
"DAL","2017-2018",257.697593100193,-160.315054542496
"DEN","2017-2018",-108.084042273006,-729.458557011978
"DET","2017-2018",-247.164534513793,599.586127621915
"GSW","2017-2018",-464.236150035704,477.045669106189
"HOU","2017-2018",-67.2443961908283,-884.749268843273
"IND","2017-2018",-240.523894937141,385.832297032302
"LAC","2017-2018",-257.77984025831,-11.1346818220702
"LAL","2017-2018",-252.522158031513,-789.39034873526
"MEM","2017-2018",-781.551461679026,203.110840595401
"MIA","2017-2018",783.679704735927,113.916855136092
"MIL","2017-2018",-673.369129696052,217.944525067439
"MIN","2017-2018",51.233046001757,-712.010697276327
"NOP","2017-2018",-88.121109525405,242.512382551472
"NYK","2017-2018",-237.476961156975,182.669763154249
"OKC","2017-2018",31.6294563572913,223.453100074132
"ORL","2017-2018",-177.166357677711,276.908132967455
"PHI","2017-2018",-398.635637156909,246.981432781634
"PHO","2017-2018",-0.0252791602824155,633.017026651181
"POR","2017-2018",-129.974737072022,-648.690653888705
"SAC","2017-2018",178.885056838277,-200.925690593698
"SAS","2017-2018",379.125290405022,-213.576885904628
"TOR","2017-2018",892.186506350171,-74.4065546310322
"UTA","2017-2018",-26.6432685471495,-9.0504251672426
"WAS","2017-2018",704.567168859259,210.123967290568
